1	Then Job answered the LORD, and said,
Psalm 79:11	Let the sighing of the prisoner come before you; according to the greatness of your power preserve you those that are appointed to die;
Psalm 79:12	And render to our neighbors sevenfold into their bosom their reproach, with which they have reproached you, O Lord.
Psalm 79:13	So we your people and sheep of your pasture will give you thanks for ever: we will show forth your praise to all generations.
Psalm 80:1	Give ear, O Shepherd of Israel, you that lead Joseph like a flock; you that dwell between the cherubim, shine forth.
Psalm 80:2	Before Ephraim and Benjamin and Manasseh stir up your strength, and come and save us.
Psalm 80:3	Turn us again, O God, and cause your face to shine; and we shall be saved.
Psalm 80:4	O LORD God of hosts, how long will you be angry against the prayer of your people?
Psalm 80:5	You feed them with the bread of tears; and give them tears to drink in great measure.
Psalm 80:6	You make us a strife to our neighbors: and our enemies laugh among themselves.
Psalm 80:7	Turn us again, O God of hosts, and cause your face to shine; and we shall be saved.
Psalm 80:8	You have brought a vine out of Egypt: you have cast out the heathen, and planted it.
Psalm 80:9	You prepared room before it, and did cause it to take deep root, and it filled the land.
Psalm 80:10	The hills were covered with the shadow of it, and the boughs thereof were like the goodly cedars.
Psalm 80:11	She sent out her boughs to the sea, and her branches to the river.
Psalm 80:12	Why have you then broken down her hedges, so that all they which pass by the way do pluck her?
Psalm 80:13	The boar out of the wood does waste it, and the wild beast of the field does devour it.
Psalm 80:14	Return, we beseech you, O God of hosts: look down from heaven, and behold, and visit this vine;
Psalm 80:15	And the vineyard which your right hand has planted, and the branch that you made strong for yourself.
Psalm 80:16	It is burned with fire, it is cut down: they perish at the rebuke of your countenance.
Psalm 80:17	Let your hand be on the man of your right hand, on the son of man whom you made strong for yourself.
Psalm 80:18	So will not we go back from you: quicken us, and we will call on your name.
Psalm 80:19	Turn us again, O LORD God of hosts, cause your face to shine; and we shall be saved.
Psalm 81:1	Sing aloud to God our strength: make a joyful noise to the God of Jacob.
Psalm 81:2	Take a psalm, and bring here the tambourine, the pleasant harp with the psaltery.
Psalm 81:3	Blow up the trumpet in the new moon, in the time appointed, on our solemn feast day.
Psalm 81:4	For this was a statute for Israel, and a law of the God of Jacob.
Psalm 81:5	This he ordained in Joseph for a testimony, when he went out through the land of Egypt: where I heard a language that I understood not.
Psalm 81:6	I removed his shoulder from the burden: his hands were delivered from the pots.
Psalm 81:7	You called in trouble, and I delivered you; I answered you in the secret place of thunder: I proved you at the waters of Meribah. Selah.
Psalm 81:8	Hear, O my people, and I will testify to you: O Israel, if you will listen to me;
Psalm 81:9	There shall no strange god be in you; neither shall you worship any strange god.
Psalm 81:10	I am the LORD your God, which brought you out of the land of Egypt: open your mouth wide, and I will fill it.
Psalm 81:11	But my people would not listen to my voice; and Israel would none of me.
Psalm 81:12	So I gave them up to their own hearts’ lust: and they walked in their own counsels.
Psalm 81:13	Oh that my people had listened to me, and Israel had walked in my ways!
Psalm 81:14	I should soon have subdued their enemies, and turned my hand against their adversaries.
Psalm 81:15	The haters of the LORD should have submitted themselves to him: but their time should have endured for ever.
Psalm 81:16	He should have fed them also with the finest of the wheat: and with honey out of the rock should I have satisfied you.
Psalm 82:1	God stands in the congregation of the mighty; he judges among the gods.
Psalm 82:2	How long will you judge unjustly, and accept the persons of the wicked? Selah.
Psalm 82:3	Defend the poor and fatherless: do justice to the afflicted and needy.
Psalm 82:4	Deliver the poor and needy: rid them out of the hand of the wicked.
Psalm 82:5	They know not, neither will they understand; they walk on in darkness: all the foundations of the earth are out of course.
Psalm 82:6	I have said, You are gods; and all of you are children of the most High.
Psalm 82:7	But you shall die like men, and fall like one of the princes.
Psalm 82:8	Arise, O God, judge the earth: for you shall inherit all nations.
Psalm 83:1	Keep not you silence, O God: hold not your peace, and be not still, O God.
Psalm 83:2	For, see, your enemies make a tumult: and they that hate you have lifted up the head.
Psalm 83:3	They have taken crafty counsel against your people, and consulted against your hidden ones.
Psalm 83:4	They have said, Come, and let us cut them off from being a nation; that the name of Israel may be no more in remembrance.
Psalm 83:5	For they have consulted together with one consent: they are confederate against you:
Psalm 83:6	The tabernacles of Edom, and the Ishmaelites; of Moab, and the Hagarenes;
Psalm 83:7	Gebal, and Ammon, and Amalek; the Philistines with the inhabitants of Tyre;
Psalm 83:8	Assur also is joined with them: they have helped the children of Lot. Selah.
Psalm 83:9	Do to them as to the Midianites; as to Sisera, as to Jabin, at the brook of Kison:
Psalm 83:10	Which perished at Endor: they became as dung for the earth.
Psalm 83:11	Make their nobles like Oreb, and like Zeeb: yes, all their princes as Zebah, and as Zalmunna:
Psalm 83:12	Who said, Let us take to ourselves the houses of God in possession.
Psalm 83:13	O my God, make them like a wheel; as the stubble before the wind.
Psalm 83:14	As the fire burns a wood, and as the flame sets the mountains on fire;
Psalm 83:15	So persecute them with your tempest, and make them afraid with your storm.
Psalm 83:16	Fill their faces with shame; that they may seek your name, O LORD.
Psalm 83:17	Let them be confounded and troubled for ever; yes, let them be put to shame, and perish:
Psalm 83:18	That men may know that you, whose name alone is JEHOVAH, are the most high over all the earth.
Psalm 84:1	How amiable are your tabernacles, O LORD of hosts!
Psalm 84:2	My soul longs, yes, even faints for the courts of the LORD: my heart and my flesh cries out for the living God.
Psalm 84:3	Yes, the sparrow has found an house, and the swallow a nest for herself, where she may lay her young, even your altars, O LORD of hosts, my King, and my God.
Psalm 84:4	Blessed are they that dwell in your house: they will be still praising you. Selah.
Psalm 84:5	Blessed is the man whose strength is in you; in whose heart are the ways of them.
Psalm 84:6	Who passing through the valley of Baca make it a well; the rain also fills the pools.
Psalm 84:7	They go from strength to strength, every one of them in Zion appears before God.
Psalm 84:8	O LORD God of hosts, hear my prayer: give ear, O God of Jacob. Selah.
Psalm 84:9	Behold, O God our shield, and look on the face of your anointed.
Psalm 84:10	For a day in your courts is better than a thousand. I had rather be a doorkeeper in the house of my God, than to dwell in the tents of wickedness.
Psalm 84:11	For the LORD God is a sun and shield: the LORD will give grace and glory: no good thing will he withhold from them that walk uprightly.
Psalm 84:12	O LORD of hosts, blessed is the man that trusts in you.
Psalm 85:1	Lord, you have been favorable to your land: you have brought back the captivity of Jacob.
Psalm 85:2	You have forgiven the iniquity of your people, you have covered all their sin. Selah.
Psalm 85:3	You have taken away all your wrath: you have turned yourself from the fierceness of your anger.
Psalm 85:4	Turn us, O God of our salvation, and cause your anger toward us to cease.
Psalm 85:5	Will you be angry with us for ever? will you draw out your anger to all generations?
Psalm 85:6	Will you not revive us again: that your people may rejoice in you?
Psalm 85:7	Show us your mercy, O LORD, and grant us your salvation.
Psalm 85:8	I will hear what God the LORD will speak: for he will speak peace to his people, and to his saints: but let them not turn again to folly.
Psalm 85:9	Surely his salvation is near them that fear him; that glory may dwell in our land.
Psalm 85:10	Mercy and truth are met together; righteousness and peace have kissed each other.
Psalm 85:11	Truth shall spring out of the earth; and righteousness shall look down from heaven.
Psalm 85:12	Yes, the LORD shall give that which is good; and our land shall yield her increase.
Psalm 85:13	Righteousness shall go before him; and shall set us in the way of his steps.
Psalm 86:1	Bow down your ear, O LORD, hear me: for I am poor and needy.
Psalm 86:2	Preserve my soul; for I am holy: O you my God, save your servant that trusts in you.
Psalm 86:3	Be merciful to me, O Lord: for I cry to you daily.
Psalm 86:4	Rejoice the soul of your servant: for to you, O Lord, do I lift up my soul.
Psalm 86:5	For you, Lord, are good, and ready to forgive; and plenteous in mercy to all them that call on you.
Psalm 86:6	Give ear, O LORD, to my prayer; and attend to the voice of my supplications.
Psalm 86:7	In the day of my trouble I will call on you: for you will answer me.
Psalm 86:8	Among the gods there is none like to you, O Lord; neither are there any works like to your works.
Psalm 86:9	All nations whom you have made shall come and worship before you, O Lord; and shall glorify your name.
Psalm 86:10	For you are great, and do wondrous things: you are God alone.
Psalm 86:11	Teach me your way, O LORD; I will walk in your truth: unite my heart to fear your name.
Psalm 86:12	I will praise you, O Lord my God, with all my heart: and I will glorify your name for ever more.
Psalm 86:13	For great is your mercy toward me: and you have delivered my soul from the lowest hell.
Psalm 86:14	O God, the proud are risen against me, and the assemblies of violent men have sought after my soul; and have not set you before them.
Psalm 86:15	But you, O Lord, are a God full of compassion, and gracious, long suffering, and plenteous in mercy and truth.
Psalm 86:16	O turn to me, and have mercy on me; give your strength to your servant, and save the son of your handmaid.
Psalm 86:17	Show me a token for good; that they which hate me may see it, and be ashamed: because you, LORD, have helped me, and comforted me.
Psalm 87:1	His foundation is in the holy mountains.
Psalm 87:2	The LORD loves the gates of Zion more than all the dwellings of Jacob.
Psalm 87:3	Glorious things are spoken of you, O city of God. Selah.
Psalm 87:4	I will make mention of Rahab and Babylon to them that know me: behold Philistia, and Tyre, with Ethiopia; this man was born there.
Psalm 87:5	And of Zion it shall be said, This and that man was born in her: and the highest himself shall establish her.
Psalm 87:6	The LORD shall count, when he writes up the people, that this man was born there. Selah.
Psalm 87:7	As well the singers as the players on instruments shall be there: all my springs are in you.
Psalm 88:1	O lord God of my salvation, I have cried day and night before you:
Psalm 88:2	Let my prayer come before you: incline your ear to my cry;
Psalm 88:3	For my soul is full of troubles: and my life draws near to the grave.
Psalm 88:4	I am counted with them that go down into the pit: I am as a man that has no strength:
Psalm 88:5	Free among the dead, like the slain that lie in the grave, whom you remember no more: and they are cut off from your hand.
Psalm 88:6	You have laid me in the lowest pit, in darkness, in the deeps.
Psalm 88:7	Your wrath lies hard on me, and you have afflicted me with all your waves. Selah.
Psalm 88:8	You have put away my acquaintance far from me; you have made me an abomination to them: I am shut up, and I cannot come forth.
Psalm 88:9	My eye mourns by reason of affliction: LORD, I have called daily on you, I have stretched out my hands to you.
Psalm 88:10	Will you show wonders to the dead? shall the dead arise and praise you? Selah.
Psalm 88:11	Shall your loving kindness be declared in the grave? or your faithfulness in destruction?
Psalm 88:12	Shall your wonders be known in the dark? and your righteousness in the land of forgetfulness?
Psalm 88:13	But to you have I cried, O LORD; and in the morning shall my prayer prevent you.
Psalm 88:14	LORD, why cast you off my soul? why hide you your face from me?
Psalm 88:15	I am afflicted and ready to die from my youth up: while I suffer your terrors I am distracted.
Psalm 88:16	Your fierce wrath goes over me; your terrors have cut me off.
Psalm 88:17	They came round about me daily like water; they compassed me about together.
Psalm 88:18	Lover and friend have you put far from me, and my acquaintance into darkness.
Psalm 89:1	I will sing of the mercies of the LORD for ever: with my mouth will I make known your faithfulness to all generations.
Psalm 89:2	For I have said, Mercy shall be built up for ever: your faithfulness shall you establish in the very heavens.
Psalm 89:3	I have made a covenant with my chosen, I have sworn to David my servant,
Psalm 89:4	Your seed will I establish for ever, and build up your throne to all generations. Selah.
Psalm 89:5	And the heavens shall praise your wonders, O LORD: your faithfulness also in the congregation of the saints.
Psalm 89:6	For who in the heaven can be compared to the LORD? who among the sons of the mighty can be likened to the LORD?
Psalm 89:7	God is greatly to be feared in the assembly of the saints, and to be had in reverence of all them that are about him.
Psalm 89:8	O LORD God of hosts, who is a strong LORD like to you? or to your faithfulness round about you?
Psalm 89:9	You rule the raging of the sea: when the waves thereof arise, you still them.
Psalm 89:10	You have broken Rahab in pieces, as one that is slain; you have scattered your enemies with your strong arm.
Psalm 89:11	The heavens are yours, the earth also is yours: as for the world and the fullness thereof, you have founded them.
Psalm 89:12	The north and the south you have created them: Tabor and Hermon shall rejoice in your name.
Psalm 89:13	You have a mighty arm: strong is your hand, and high is your right hand.
Psalm 89:14	Justice and judgment are the habitation of your throne: mercy and truth shall go before your face.
Psalm 89:15	Blessed is the people that know the joyful sound: they shall walk, O LORD, in the light of your countenance.
Psalm 89:16	In your name shall they rejoice all the day: and in your righteousness shall they be exalted.
Psalm 89:17	For you are the glory of their strength: and in your favor our horn shall be exalted.
Psalm 89:18	For the LORD is our defense; and the Holy One of Israel is our king.
Psalm 89:19	Then you spoke in vision to your holy one, and said, I have laid help on one that is mighty; I have exalted one chosen out of the people.
Psalm 89:20	I have found David my servant; with my holy oil have I anointed him:
Psalm 89:21	With whom my hand shall be established: my arm also shall strengthen him.
Psalm 89:22	The enemy shall not exact on him; nor the son of wickedness afflict him.
Psalm 89:23	And I will beat down his foes before his face, and plague them that hate him.
Psalm 89:24	But my faithfulness and my mercy shall be with him: and in my name shall his horn be exalted.
Psalm 89:25	I will set his hand also in the sea, and his right hand in the rivers.
Psalm 89:26	He shall cry to me, You are my father, my God, and the rock of my salvation.
Psalm 89:27	Also I will make him my firstborn, higher than the kings of the earth.
Psalm 89:28	My mercy will I keep for him for ever more, and my covenant shall stand fast with him.
Psalm 89:29	His seed also will I make to endure for ever, and his throne as the days of heaven.
Psalm 89:30	If his children forsake my law, and walk not in my judgments;
Psalm 89:31	If they break my statutes, and keep not my commandments;
Psalm 89:32	Then will I visit their transgression with the rod, and their iniquity with stripes.
Psalm 89:33	Nevertheless my loving kindness will I not utterly take from him, nor suffer my faithfulness to fail.
Psalm 89:34	My covenant will I not break, nor alter the thing that is gone out of my lips.
Psalm 89:35	Once have I sworn by my holiness that I will not lie to David.
Psalm 89:36	His seed shall endure for ever, and his throne as the sun before me.
Psalm 89:37	It shall be established for ever as the moon, and as a faithful witness in heaven. Selah.
Psalm 89:38	But you have cast off and abhorred, you have been wroth with your anointed.
Psalm 89:39	You have made void the covenant of your servant: you have profaned his crown by casting it to the ground.
Psalm 89:40	You have broken down all his hedges; you have brought his strong holds to ruin.
Psalm 89:41	All that pass by the way spoil him: he is a reproach to his neighbors.
Psalm 89:42	You have set up the right hand of his adversaries; you have made all his enemies to rejoice.
Psalm 89:43	You have also turned the edge of his sword, and have not made him to stand in the battle.
Psalm 89:44	You have made his glory to cease, and cast his throne down to the ground.
Psalm 89:45	The days of his youth have you shortened: you have covered him with shame. Selah.
Psalm 89:46	How long, LORD? will you hide yourself for ever? shall your wrath burn like fire?
Psalm 89:47	Remember how short my time is: why have you made all men in vain?
Psalm 89:48	What man is he that lives, and shall not see death? shall he deliver his soul from the hand of the grave? Selah.
Psalm 89:49	Lord, where are your former loving kindnesses, which you swore to David in your truth?
Psalm 89:50	Remember, Lord, the reproach of your servants; how I do bear in my bosom the reproach of all the mighty people;
Psalm 89:51	With which your enemies have reproached, O LORD; with which they have reproached the footsteps of your anointed.
Psalm 89:52	Blessed be the LORD for ever more. Amen, and Amen.
Psalm 90:1	Lord, you have been our dwelling place in all generations.
Psalm 90:2	Before the mountains were brought forth, or ever you had formed the earth and the world, even from everlasting to everlasting, you are God.
Psalm 90:3	You turn man to destruction; and say, Return, you children of men.
Psalm 90:4	For a thousand years in your sight are but as yesterday when it is past, and as a watch in the night.
Psalm 90:5	You carry them away as with a flood; they are as a sleep: in the morning they are like grass which grows up.
Psalm 90:6	In the morning it flourishes, and grows up; in the evening it is cut down, and wither.
Psalm 90:7	For we are consumed by your anger, and by your wrath are we troubled.
Psalm 90:8	You have set our iniquities before you, our secret sins in the light of your countenance.
Psalm 90:9	For all our days are passed away in your wrath: we spend our years as a tale that is told.
Psalm 90:10	The days of our years are three score years and ten; and if by reason of strength they be fourscore years, yet is their strength labor and sorrow; for it is soon cut off, and we fly away.
Psalm 90:11	Who knows the power of your anger? even according to your fear, so is your wrath.
Psalm 90:12	So teach us to number our days, that we may apply our hearts to wisdom.
Psalm 90:13	Return, O LORD, how long? and let it repent you concerning your servants.
Psalm 90:14	O satisfy us early with your mercy; that we may rejoice and be glad all our days.
Psalm 90:15	Make us glad according to the days wherein you have afflicted us, and the years wherein we have seen evil.
Psalm 90:16	Let your work appear to your servants, and your glory to their children.
Psalm 90:17	And let the beauty of the LORD our God be on us: and establish you the work of our hands on us; yes, the work of our hands establish you it.
Psalm 91:1	He that dwells in the secret place of the most High shall abide under the shadow of the Almighty.
Psalm 91:2	I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust.
Psalm 91:3	Surely he shall deliver you from the snare of the fowler, and from the noisome pestilence.
Psalm 91:4	He shall cover you with his feathers, and under his wings shall you trust: his truth shall be your shield and buckler.
Psalm 91:5	You shall not be afraid for the terror by night; nor for the arrow that flies by day;
Psalm 91:6	Nor for the pestilence that walks in darkness; nor for the destruction that wastes at noonday.
Psalm 91:7	A thousand shall fall at your side, and ten thousand at your right hand; but it shall not come near you.
Psalm 91:8	Only with your eyes shall you behold and see the reward of the wicked.
Psalm 91:9	Because you have made the LORD, which is my refuge, even the most High, your habitation;
Psalm 91:10	There shall no evil befall you, neither shall any plague come near your dwelling.
Psalm 91:11	For he shall give his angels charge over you, to keep you in all your ways.
Psalm 91:12	They shall bear you up in their hands, lest you dash your foot against a stone.
Psalm 91:13	You shall tread on the lion and adder: the young lion and the dragon shall you trample under feet.
Psalm 91:14	Because he has set his love on me, therefore will I deliver him: I will set him on high, because he has known my name.
Psalm 91:15	He shall call on me, and I will answer him: I will be with him in trouble; I will deliver him, and honor him.
Psalm 91:16	With long life will I satisfy him, and show him my salvation.
Psalm 92:1	IT IS A GOOD THING TO GIVE THANKS UNTO THE LORD, AND TO SING PRAISES UNTO THY NAME, O MOST HIGH:
Psalm 92:2	To show forth your loving kindness in the morning, and your faithfulness every night,
Psalm 92:3	On an instrument of ten strings, and on the psaltery; on the harp with a solemn sound.
Psalm 92:4	For you, LORD, have made me glad through your work: I will triumph in the works of your hands.
Psalm 92:5	O LORD, how great are your works! and your thoughts are very deep.
Psalm 92:6	A brutish man knows not; neither does a fool understand this.
Psalm 92:7	When the wicked spring as the grass, and when all the workers of iniquity do flourish; it is that they shall be destroyed for ever:
Psalm 92:8	But you, LORD, are most high for ever more.
Psalm 92:9	For, see, your enemies, O LORD, for, see, your enemies shall perish; all the workers of iniquity shall be scattered.
Psalm 92:10	But my horn shall you exalt like the horn of an unicorn: I shall be anointed with fresh oil.
Psalm 92:11	My eye also shall see my desire on my enemies, and my ears shall hear my desire of the wicked that rise up against me.
Psalm 92:12	The righteous shall flourish like the palm tree: he shall grow like a cedar in Lebanon.
Psalm 92:13	Those that be planted in the house of the LORD shall flourish in the courts of our God.
Psalm 92:14	They shall still bring forth fruit in old age; they shall be fat and flourishing;
Psalm 92:15	To show that the LORD is upright: he is my rock, and there is no unrighteousness in him.
Psalm 93:1	The LORD reigns, he is clothed with majesty; the LORD is clothed with strength, with which he has girded himself: the world also is established, that it cannot be moved.
Psalm 93:2	Your throne is established of old: you are from everlasting.
Psalm 93:3	The floods have lifted up, O LORD, the floods have lifted up their voice; the floods lift up their waves.
Psalm 93:4	The LORD on high is mightier than the noise of many waters, yes, than the mighty waves of the sea.
Psalm 93:5	Your testimonies are very sure: holiness becomes your house, O LORD, for ever.
Psalm 94:1	O Lord God, to whom vengeance belongs; O God, to whom vengeance belongs, show yourself.
Psalm 94:2	Lift up yourself, you judge of the earth: render a reward to the proud.
Psalm 94:3	LORD, how long shall the wicked, how long shall the wicked triumph?
Psalm 94:4	How long shall they utter and speak hard things? and all the workers of iniquity boast themselves?
Psalm 94:5	They break in pieces your people, O LORD, and afflict your heritage.
Psalm 94:6	They slay the widow and the stranger, and murder the fatherless.
Psalm 94:7	Yet they say, The LORD shall not see, neither shall the God of Jacob regard it.
Psalm 94:8	Understand, you brutish among the people: and you fools, when will you be wise?
Psalm 94:9	He that planted the ear, shall he not hear? he that formed the eye, shall he not see?
Psalm 94:10	He that chastises the heathen, shall not he correct? he that teaches man knowledge, shall not he know?
Psalm 94:11	The LORD knows the thoughts of man, that they are vanity.
Psalm 94:12	Blessed is the man whom you chasten, O LORD, and teach him out of your law;
Psalm 94:13	That you may give him rest from the days of adversity, until the pit be dig for the wicked.
Psalm 94:14	For the LORD will not cast off his people, neither will he forsake his inheritance.
Psalm 94:15	But judgment shall return to righteousness: and all the upright in heart shall follow it.
Psalm 94:16	Who will rise up for me against the evildoers? or who will stand up for me against the workers of iniquity?
Psalm 94:17	Unless the LORD had been my help, my soul had almost dwelled in silence.
Psalm 94:18	When I said, My foot slips; your mercy, O LORD, held me up.
Psalm 94:19	In the multitude of my thoughts within me your comforts delight my soul.
Psalm 94:20	Shall the throne of iniquity have fellowship with you, which frames mischief by a law?
Psalm 94:21	They gather themselves together against the soul of the righteous, and condemn the innocent blood.
Psalm 94:22	But the LORD is my defense; and my God is the rock of my refuge.
Psalm 94:23	And he shall bring on them their own iniquity, and shall cut them off in their own wickedness; yes, the LORD our God shall cut them off.
Psalm 95:1	O come, let us sing to the LORD: let us make a joyful noise to the rock of our salvation.
Psalm 95:2	Let us come before his presence with thanksgiving, and make a joyful noise to him with psalms.
Psalm 95:3	For the LORD is a great God, and a great King above all gods.
Psalm 95:4	In his hand are the deep places of the earth: the strength of the hills is his also.
Psalm 95:5	The sea is his, and he made it: and his hands formed the dry land.
Psalm 95:6	O come, let us worship and bow down: let us kneel before the LORD our maker.
Psalm 95:7	For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if you will hear his voice,
Psalm 95:8	Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness:
Psalm 95:9	When your fathers tempted me, proved me, and saw my work.
Psalm 95:10	Forty years long was I grieved with this generation, and said, It is a people that do err in their heart, and they have not known my ways:
Psalm 95:11	To whom I swore in my wrath that they should not enter into my rest.
Psalm 96:1	O sing to the LORD a new song: sing to the LORD, all the earth.
Psalm 96:2	Sing to the LORD, bless his name; show forth his salvation from day to day.
Psalm 96:3	Declare his glory among the heathen, his wonders among all people.
Psalm 96:4	For the LORD is great, and greatly to be praised: he is to be feared above all gods.
Psalm 96:5	For all the gods of the nations are idols: but the LORD made the heavens.
Psalm 96:6	Honor and majesty are before him: strength and beauty are in his sanctuary.
Psalm 96:7	Give to the LORD, O you kindreds of the people, give to the LORD glory and strength.
Psalm 96:8	Give to the LORD the glory due to his name: bring an offering, and come into his courts.
Psalm 96:9	O worship the LORD in the beauty of holiness: fear before him, all the earth.
Psalm 96:10	Say among the heathen that the LORD reigns: the world also shall be established that it shall not be moved: he shall judge the people righteously.
Psalm 96:11	Let the heavens rejoice, and let the earth be glad; let the sea roar, and the fullness thereof.
Psalm 96:12	Let the field be joyful, and all that is therein: then shall all the trees of the wood rejoice
Psalm 96:13	Before the LORD: for he comes, for he comes to judge the earth: he shall judge the world with righteousness, and the people with his truth.
Psalm 97:1	The LORD reigns; let the earth rejoice; let the multitude of isles be glad thereof.
Psalm 97:2	Clouds and darkness are round about him: righteousness and judgment are the habitation of his throne.
Psalm 97:3	A fire goes before him, and burns up his enemies round about.
Psalm 97:4	His lightning enlightened the world: the earth saw, and trembled.
Psalm 97:5	The hills melted like wax at the presence of the LORD, at the presence of the Lord of the whole earth.
Psalm 97:6	The heavens declare his righteousness, and all the people see his glory.
Psalm 97:7	Confounded be all they that serve graven images, that boast themselves of idols: worship him, all you gods.
Psalm 97:8	Zion heard, and was glad; and the daughters of Judah rejoiced because of your judgments, O LORD.
Psalm 97:9	For you, LORD, are high above all the earth: you are exalted far above all gods.
Psalm 97:10	You that love the LORD, hate evil: he preserves the souls of his saints; he delivers them out of the hand of the wicked.
Psalm 97:11	Light is sown for the righteous, and gladness for the upright in heart.
Psalm 97:12	Rejoice in the LORD, you righteous; and give thanks at the remembrance of his holiness.
Psalm 98:1	O sing to the LORD a new song; for he has done marvelous things: his right hand, and his holy arm, has gotten him the victory.
Psalm 98:2	The LORD has made known his salvation: his righteousness has he openly showed in the sight of the heathen.
Psalm 98:3	He has remembered his mercy and his truth toward the house of Israel: all the ends of the earth have seen the salvation of our God.
Psalm 98:4	Make a joyful noise to the LORD, all the earth: make a loud noise, and rejoice, and sing praise.
Psalm 98:5	Sing to the LORD with the harp; with the harp, and the voice of a psalm.
Psalm 98:6	With trumpets and sound of cornet make a joyful noise before the LORD, the King.
Psalm 98:7	Let the sea roar, and the fullness thereof; the world, and they that dwell therein.
Psalm 98:8	Let the floods clap their hands: let the hills be joyful together
Psalm 98:9	Before the LORD; for he comes to judge the earth: with righteousness shall he judge the world, and the people with equity.
Psalm 99:1	The LORD reigns; let the people tremble: he sits between the cherubim; let the earth be moved.
Psalm 99:2	The LORD is great in Zion; and he is high above all the people.
Psalm 99:3	Let them praise your great and terrible name; for it is holy.
Psalm 99:4	The king’s strength also loves judgment; you do establish equity, you execute judgment and righteousness in Jacob.
Psalm 99:5	Exalt you the LORD our God, and worship at his footstool; for he is holy.
Psalm 99:6	Moses and Aaron among his priests, and Samuel among them that call on his name; they called on the LORD, and he answered them.
Psalm 99:7	He spoke to them in the cloudy pillar: they kept his testimonies, and the ordinance that he gave them.
Psalm 99:8	You answered them, O LORD our God: you were a God that forgave them, though you took vengeance of their inventions.
Psalm 99:9	Exalt the LORD our God, and worship at his holy hill; for the LORD our God is holy.
Psalm 100:1	Make a joyful noise to the LORD, all you lands.
Psalm 100:2	Serve the LORD with gladness: come before his presence with singing.
Psalm 100:3	Know you that the LORD he is God: it is he that has made us, and not we ourselves; we are his people, and the sheep of his pasture.
Psalm 100:4	Enter into his gates with thanksgiving, and into his courts with praise: be thankful to him, and bless his name.
Psalm 100:5	For the LORD is good; his mercy is everlasting; and his truth endures to all generations.
Psalm 101:1	I will sing of mercy and judgment: to you, O LORD, will I sing.
Psalm 101:2	I will behave myself wisely in a perfect way. O when will you come to me? I will walk within my house with a perfect heart.
Psalm 101:3	I will set no wicked thing before my eyes: I hate the work of them that turn aside; it shall not stick to me.
Psalm 101:4	A fraudulent heart shall depart from me: I will not know a wicked person.
Psalm 101:5	Whoever privately slanders his neighbor, him will I cut off: him that has an high look and a proud heart will not I suffer.
Psalm 101:6	My eyes shall be on the faithful of the land, that they may dwell with me: he that walks in a perfect way, he shall serve me.
Psalm 101:7	He that works deceit shall not dwell within my house: he that tells lies shall not tarry in my sight.
Psalm 101:8	I will early destroy all the wicked of the land; that I may cut off all wicked doers from the city of the LORD.
Psalm 102:1	Hear my prayer, O LORD, and let my cry come to you.
Psalm 102:2	Hide not your face from me in the day when I am in trouble; incline your ear to me: in the day when I call answer me speedily.
Psalm 102:3	For my days are consumed like smoke, and my bones are burned as an hearth.
Psalm 102:4	My heart is smitten, and withered like grass; so that I forget to eat my bread.
Psalm 102:5	By reason of the voice of my groaning my bones stick to my skin.
Psalm 102:6	I am like a pelican of the wilderness: I am like an owl of the desert.
Psalm 102:7	I watch, and am as a sparrow alone on the house top.
Psalm 102:8	My enemies reproach me all the day; and they that are mad against me are sworn against me.
Psalm 102:9	For I have eaten ashes like bread, and mingled my drink with weeping.
Psalm 102:10	Because of your indignation and your wrath: for you have lifted me up, and cast me down.
Psalm 102:11	My days are like a shadow that declines; and I am withered like grass.
Psalm 102:12	But you, O LORD, shall endure for ever; and your remembrance to all generations.
Psalm 102:13	You shall arise, and have mercy on Zion: for the time to favor her, yes, the set time, is come.
Psalm 102:14	For your servants take pleasure in her stones, and favor the dust thereof.
Psalm 102:15	So the heathen shall fear the name of the LORD, and all the kings of the earth your glory.
Psalm 102:16	When the LORD shall build up Zion, he shall appear in his glory.
Psalm 102:17	He will regard the prayer of the destitute, and not despise their prayer.
Psalm 102:18	This shall be written for the generation to come: and the people which shall be created shall praise the LORD.
Psalm 102:19	For he has looked down from the height of his sanctuary; from heaven did the LORD behold the earth;
Psalm 102:20	To hear the groaning of the prisoner; to loose those that are appointed to death;
Psalm 102:21	To declare the name of the LORD in Zion, and his praise in Jerusalem;
Psalm 102:22	When the people are gathered together, and the kingdoms, to serve the LORD.
Psalm 102:23	He weakened my strength in the way; he shortened my days.
Psalm 102:24	I said, O my God, take me not away in the middle of my days: your years are throughout all generations.
Psalm 102:25	Of old have you laid the foundation of the earth: and the heavens are the work of your hands.
Psalm 102:26	They shall perish, but you shall endure: yes, all of them shall wax old like a garment; as a clothing shall you change them, and they shall be changed:
Psalm 102:27	But you are the same, and your years shall have no end.
Psalm 102:28	The children of your servants shall continue, and their seed shall be established before you.
Psalm 103:1	Bless the LORD, O my soul: and all that is within me, bless his holy name.
Psalm 103:2	Bless the LORD, O my soul, and forget not all his benefits:
Psalm 103:3	Who forgives all your iniquities; who heals all your diseases;
