1	Then Job answered Yahweh,
Psalm 73:27	For, behold, those who are far from you shall perish. You have destroyed all those who are unfaithful to you.
Psalm 73:28	But it is good for me to come close to God. I have made the Lord Yahweh my refuge, that I may tell of all your works.
Psalm 74:1	A contemplation by Asaph. God, why have you rejected us forever? Why does your anger smolder against the sheep of your pasture?
Psalm 74:2	Remember your congregation, which you purchased of old, which you have redeemed to be the tribe of your inheritance; Mount Zion, in which you have lived.
Psalm 74:3	Lift up your feet to the perpetual ruins, all the evil that the enemy has done in the sanctuary.
Psalm 74:4	Your adversaries have roared in the midst of your assembly. They have set up their standards as signs.
Psalm 74:5	They behaved like men wielding axes, cutting through a thicket of trees.
Psalm 74:6	Now they break all its carved work down with hatchet and hammers.
Psalm 74:7	They have burned your sanctuary to the ground. They have profaned the dwelling place of your Name.
Psalm 74:8	They said in their heart, “We will crush them completely.” They have burned up all the places in the land where God was worshiped.
Psalm 74:9	We see no miraculous signs. There is no longer any prophet, neither is there among us anyone who knows how long.
Psalm 74:10	How long, God, shall the adversary reproach? Shall the enemy blaspheme your name forever?
Psalm 74:11	Why do you draw back your hand, even your right hand? Take it out of your pocket and consume them!
Psalm 74:12	Yet God is my King of old, working salvation in the midst of the earth.
Psalm 74:13	You divided the sea by your strength. You broke the heads of the sea monsters in the waters.
Psalm 74:14	You broke the heads of Leviathan in pieces. You gave him as food to people and desert creatures.
Psalm 74:15	You opened up spring and stream. You dried up mighty rivers.
Psalm 74:16	The day is yours, the night is also yours. You have prepared the light and the sun.
Psalm 74:17	You have set all the boundaries of the earth. You have made summer and winter.
Psalm 74:18	Remember this, that the enemy has mocked you, Yahweh. Foolish people have blasphemed your name.
Psalm 74:19	Don’t deliver the soul of your dove to wild beasts. Don’t forget the life of your poor forever.
Psalm 74:20	Honor your covenant, for haunts of violence fill the dark places of the earth.
Psalm 74:21	Don’t let the oppressed return ashamed. Let the poor and needy praise your name.
Psalm 74:22	Arise, God! Plead your own cause. Remember how the foolish man mocks you all day.
Psalm 74:23	Don’t forget the voice of your adversaries. The tumult of those who rise up against you ascends continually.
Psalm 75:1	For the Chief Musician. To the tune of “Do Not Destroy.” A Psalm by Asaph. A song. We give thanks to you, God. We give thanks, for your Name is near. Men tell about your wondrous works.
Psalm 75:2	When I choose the appointed time, I will judge blamelessly.
Psalm 75:3	The earth and all its inhabitants quake. I firmly hold its pillars. Selah.
Psalm 75:4	I said to the arrogant, “Don’t boast!” I said to the wicked, “Don’t lift up the horn.
Psalm 75:5	Don’t lift up your horn on high. Don’t speak with a stiff neck.”
Psalm 75:6	For neither from the east, nor from the west, nor yet from the south, comes exaltation.
Psalm 75:7	But God is the judge. He puts down one, and lifts up another.
Psalm 75:8	For in the hand of Yahweh there is a cup, full of foaming wine mixed with spices. He pours it out. Indeed the wicked of the earth drink and drink it to its very dregs.
Psalm 75:9	But I will declare this forever: I will sing praises to the God of Jacob.
Psalm 75:10	I will cut off all the horns of the wicked, but the horns of the righteous shall be lifted up.
Psalm 76:1	For the Chief Musician. On stringed instruments. A Psalm by Asaph. A song. In Judah, God is known. His name is great in Israel.
Psalm 76:2	His tabernacle is also in Salem; His dwelling place in Zion.
Psalm 76:3	There he broke the flaming arrows of the bow, the shield, and the sword, and the weapons of war. Selah.
Psalm 76:4	Glorious are you, and excellent, more than mountains of game.
Psalm 76:5	Valiant men lie plundered, they have slept their last sleep. None of the men of war can lift their hands.
Psalm 76:6	At your rebuke, God of Jacob, both chariot and horse are cast into a deep sleep.
Psalm 76:7	You, even you, are to be feared. Who can stand in your sight when you are angry?
Psalm 76:8	You pronounced judgment from heaven. The earth feared, and was silent,
Psalm 76:9	when God arose to judgment, to save all the afflicted ones of the earth. Selah.
Psalm 76:10	Surely the wrath of man praises you. The survivors of your wrath are restrained.
Psalm 76:11	Make vows to Yahweh your God, and fulfill them! Let all of his neighbors bring presents to him who is to be feared.
Psalm 76:12	He will cut off the spirit of princes. He is feared by the kings of the earth.
Psalm 77:1	For the Chief Musician. To Jeduthun. A Psalm by Asaph. My cry goes to God! Indeed, I cry to God for help, and for him to listen to me.
Psalm 77:2	In the day of my trouble I sought the Lord. My hand was stretched out in the night, and didn’t get tired. My soul refused to be comforted.
Psalm 77:3	I remember God, and I groan. I complain, and my spirit is overwhelmed. Selah.
Psalm 77:4	You hold my eyelids open. I am so troubled that I can’t speak.
Psalm 77:5	I have considered the days of old, the years of ancient times.
Psalm 77:6	I remember my song in the night. I consider in my own heart; my spirit diligently inquires:
Psalm 77:7	“Will the Lord reject us forever? Will he be favorable no more?
Psalm 77:8	Has his loving kindness vanished forever? Does his promise fail for generations?
Psalm 77:9	Has God forgotten to be gracious? Has he, in anger, withheld his compassion?” Selah.
Psalm 77:10	Then I thought, “I will appeal to this: the years of the right hand of the Most High.”
Psalm 77:11	I will remember Yah’s deeds; for I will remember your wonders of old.
Psalm 77:12	I will also meditate on all your work, and consider your doings.
Psalm 77:13	Your way, God, is in the sanctuary. What god is great like God?
Psalm 77:14	You are the God who does wonders. You have made your strength known among the peoples.
Psalm 77:15	You have redeemed your people with your arm, the sons of Jacob and Joseph. Selah.
Psalm 77:16	The waters saw you, God. The waters saw you, and they writhed. The depths also convulsed.
Psalm 77:17	The clouds poured out water. The skies resounded with thunder. Your arrows also flashed around.
Psalm 77:18	The voice of your thunder was in the whirlwind. The lightnings lit up the world. The earth trembled and shook.
Psalm 77:19	Your way was through the sea; your paths through the great waters. Your footsteps were not known.
Psalm 77:20	You led your people like a flock, by the hand of Moses and Aaron.
Psalm 78:1	A contemplation by Asaph. Hear my teaching, my people. Turn your ears to the words of my mouth.
Psalm 78:2	I will open my mouth in a parable. I will utter dark sayings of old,
Psalm 78:3	Which we have heard and known, and our fathers have told us.
Psalm 78:4	We will not hide them from their children, telling to the generation to come the praises of Yahweh, his strength, and his wondrous works that he has done.
Psalm 78:5	For he established a testimony in Jacob, and appointed a teaching in Israel, which he commanded our fathers, that they should make them known to their children;
Psalm 78:6	that the generation to come might know, even the children who should be born; who should arise and tell their children,
Psalm 78:7	that they might set their hope in God, and not forget the works of God, but keep his commandments,
Psalm 78:8	and might not be as their fathers, a stubborn and rebellious generation, a generation that didn’t make their hearts loyal, whose spirit was not steadfast with God.
Psalm 78:9	The children of Ephraim, being armed and carrying bows, turned back in the day of battle.
Psalm 78:10	They didn’t keep God’s covenant, and refused to walk in his law.
Psalm 78:11	They forgot his doings, his wondrous works that he had shown them.
Psalm 78:12	He did marvelous things in the sight of their fathers, in the land of Egypt, in the field of Zoan.
Psalm 78:13	He split the sea, and caused them to pass through. He made the waters stand as a heap.
Psalm 78:14	In the daytime he also led them with a cloud, and all night with a light of fire.
Psalm 78:15	He split rocks in the wilderness, and gave them drink abundantly as out of the depths.
Psalm 78:16	He brought streams also out of the rock, and caused waters to run down like rivers.
Psalm 78:17	Yet they still went on to sin against him, to rebel against the Most High in the desert.
Psalm 78:18	They tempted God in their heart by asking food according to their desire.
Psalm 78:19	Yes, they spoke against God. They said, “Can God prepare a table in the wilderness?
Psalm 78:20	Behold, he struck the rock, so that waters gushed out, and streams overflowed. Can he give bread also? Will he provide flesh for his people?”
Psalm 78:21	Therefore Yahweh heard, and was angry. A fire was kindled against Jacob, anger also went up against Israel,
Psalm 78:22	because they didn’t believe in God, and didn’t trust in his salvation.
Psalm 78:23	Yet he commanded the skies above, and opened the doors of heaven.
Psalm 78:24	He rained down manna on them to eat, and gave them food from the sky.
Psalm 78:25	Man ate the bread of angels. He sent them food to the full.
Psalm 78:26	He caused the east wind to blow in the sky. By his power he guided the south wind.
Psalm 78:27	He rained also flesh on them as the dust; winged birds as the sand of the seas.
Psalm 78:28	He let them fall in the midst of their camp, around their habitations.
Psalm 78:29	So they ate, and were well filled. He gave them their own desire.
Psalm 78:30	They didn’t turn from their cravings. Their food was yet in their mouths,
Psalm 78:31	when the anger of God went up against them, killed some of their fattest, and struck down the young men of Israel.
Psalm 78:32	For all this they still sinned, and didn’t believe in his wondrous works.
Psalm 78:33	Therefore he consumed their days in vanity, and their years in terror.
Psalm 78:34	When he killed them, then they inquired after him. They returned and sought God earnestly.
Psalm 78:35	They remembered that God was their rock, the Most High God, their redeemer.
Psalm 78:36	But they flattered him with their mouth, and lied to him with their tongue.
Psalm 78:37	For their heart was not right with him, neither were they faithful in his covenant.
Psalm 78:38	But he, being merciful, forgave iniquity, and didn’t destroy them. Yes, many times he turned his anger away, and didn’t stir up all his wrath.
Psalm 78:39	He remembered that they were but flesh, a wind that passes away, and doesn’t come again.
Psalm 78:40	How often they rebelled against him in the wilderness, and grieved him in the desert!
Psalm 78:41	They turned again and tempted God, and provoked the Holy One of Israel.
Psalm 78:42	They didn’t remember his hand, nor the day when he redeemed them from the adversary;
Psalm 78:43	how he set his signs in Egypt, his wonders in the field of Zoan,
Psalm 78:44	he turned their rivers into blood, and their streams, so that they could not drink.
Psalm 78:45	He sent among them swarms of flies, which devoured them; and frogs, which destroyed them.
Psalm 78:46	He gave also their increase to the caterpillar, and their labor to the locust.
Psalm 78:47	He destroyed their vines with hail, their sycamore fig trees with frost.
Psalm 78:48	He gave over their livestock also to the hail, and their flocks to hot thunderbolts.
Psalm 78:49	He threw on them the fierceness of his anger, wrath, indignation, and trouble, and a band of angels of evil.
Psalm 78:50	He made a path for his anger. He didn’t spare their soul from death, but gave their life over to the pestilence,
Psalm 78:51	and struck all the firstborn in Egypt, the chief of their strength in the tents of Ham.
Psalm 78:52	But he led forth his own people like sheep, and guided them in the wilderness like a flock.
Psalm 78:53	He led them safely, so that they weren’t afraid, but the sea overwhelmed their enemies.
Psalm 78:54	He brought them to the border of his sanctuary, to this mountain, which his right hand had taken.
Psalm 78:55	He also drove out the nations before them, allotted them for an inheritance by line, and made the tribes of Israel to dwell in their tents.
Psalm 78:56	Yet they tempted and rebelled against the Most High God, and didn’t keep his testimonies;
Psalm 78:57	but turned back, and dealt treacherously like their fathers. They were turned aside like a deceitful bow.
Psalm 78:58	For they provoked him to anger with their high places, and moved him to jealousy with their engraved images.
Psalm 78:59	When God heard this, he was angry, and greatly abhorred Israel;
Psalm 78:60	So that he forsook the tent of Shiloh, the tent which he placed among men;
Psalm 78:61	and delivered his strength into captivity, his glory into the adversary’s hand.
Psalm 78:62	He also gave his people over to the sword, and was angry with his inheritance.
Psalm 78:63	Fire devoured their young men. Their virgins had no wedding song.
Psalm 78:64	Their priests fell by the sword, and their widows couldn’t weep.
Psalm 78:65	Then the Lord awakened as one out of sleep, like a mighty man who shouts by reason of wine.
Psalm 78:66	He struck his adversaries backward. He put them to a perpetual reproach.
Psalm 78:67	Moreover he rejected the tent of Joseph, and didn’t choose the tribe of Ephraim,
Psalm 78:68	But chose the tribe of Judah, Mount Zion which he loved.
Psalm 78:69	He built his sanctuary like the heights, like the earth which he has established forever.
Psalm 78:70	He also chose David his servant, and took him from the sheepfolds;
Psalm 78:71	from following the ewes that have their young, he brought him to be the shepherd of Jacob, his people, and Israel, his inheritance.
Psalm 78:72	So he was their shepherd according to the integrity of his heart, and guided them by the skillfulness of his hands.
Psalm 79:1	A Psalm by Asaph. God, the nations have come into your inheritance. They have defiled your holy temple. They have laid Jerusalem in heaps.
Psalm 79:2	They have given the dead bodies of your servants to be food for the birds of the sky, the flesh of your saints to the animals of the earth.
Psalm 79:3	Their blood they have shed like water around Jerusalem. There was no one to bury them.
Psalm 79:4	We have become a reproach to our neighbors, a scoffing and derision to those who are around us.
Psalm 79:5	How long, Yahweh? Will you be angry forever? Will your jealousy burn like fire?
Psalm 79:6	Pour out your wrath on the nations that don’t know you; on the kingdoms that don’t call on your name;
Psalm 79:7	For they have devoured Jacob, and destroyed his homeland.
Psalm 79:8	Don’t hold the iniquities of our forefathers against us. Let your tender mercies speedily meet us, for we are in desperate need.
Psalm 79:9	Help us, God of our salvation, for the glory of your name. Deliver us, and forgive our sins, for your name’s sake.
Psalm 79:10	Why should the nations say, “Where is their God?” Let it be known among the nations, before our eyes, that vengeance for your servants’ blood is being poured out.
Psalm 79:11	Let the sighing of the prisoner come before you. According to the greatness of your power, preserve those who are sentenced to death.
Psalm 79:12	Pay back to our neighbors seven times into their bosom their reproach with which they have reproached you, Lord.
Psalm 79:13	So we, your people and sheep of your pasture, will give you thanks forever. We will praise you forever, to all generations.
Psalm 80:1	For the Chief Musician. To the tune of “The Lilies of the Covenant.” A Psalm by Asaph. Hear us, Shepherd of Israel, you who lead Joseph like a flock, you who sit above the cherubim, shine forth.
Psalm 80:2	Before Ephraim and Benjamin and Manasseh, stir up your might! Come to save us!
Psalm 80:3	Turn us again, God. Cause your face to shine, and we will be saved.
Psalm 80:4	Yahweh God of Armies, How long will you be angry against the prayer of your people?
Psalm 80:5	You have fed them with the bread of tears, and given them tears to drink in large measure.
Psalm 80:6	You make us a source of contention to our neighbors. Our enemies laugh among themselves.
Psalm 80:7	Turn us again, God of Armies. Cause your face to shine, and we will be saved.
Psalm 80:8	You brought a vine out of Egypt. You drove out the nations, and planted it.
Psalm 80:9	You cleared the ground for it. It took deep root, and filled the land.
Psalm 80:10	The mountains were covered with its shadow. Its boughs were like God’s cedars.
Psalm 80:11	It sent out its branches to the sea, Its shoots to the River.
Psalm 80:12	Why have you broken down its walls, so that all those who pass by the way pluck it?
Psalm 80:13	The boar out of the wood ravages it. The wild animals of the field feed on it.
Psalm 80:14	Turn again, we beg you, God of Armies. Look down from heaven, and see, and visit this vine,
Psalm 80:15	the stock which your right hand planted, the branch that you made strong for yourself.
Psalm 80:16	It’s burned with fire. It’s cut down. They perish at your rebuke.
Psalm 80:17	Let your hand be on the man of your right hand, on the son of man whom you made strong for yourself.
Psalm 80:18	So we will not turn away from you. Revive us, and we will call on your name.
Psalm 80:19	Turn us again, Yahweh God of Armies. Cause your face to shine, and we will be saved.
Psalm 81:1	For the Chief Musician. On an instrument of Gath. By Asaph. Sing aloud to God, our strength! Make a joyful shout to the God of Jacob!
Psalm 81:2	Raise a song, and bring here the tambourine, the pleasant lyre with the harp.
Psalm 81:3	Blow the trumpet at the New Moon, at the full moon, on our feast day.
Psalm 81:4	For it is a statute for Israel, an ordinance of the God of Jacob.
Psalm 81:5	He appointed it in Joseph for a testimony, when he went out over the land of Egypt, I heard a language that I didn’t know.
Psalm 81:6	“I removed his shoulder from the burden. His hands were freed from the basket.
Psalm 81:7	You called in trouble, and I delivered you. I answered you in the secret place of thunder. I tested you at the waters of Meribah.” Selah.
Psalm 81:8	“Hear, my people, and I will testify to you, Israel, if you would listen to me!
Psalm 81:9	There shall be no strange god in you, neither shall you worship any foreign god.
Psalm 81:10	I am Yahweh, your God, who brought you up out of the land of Egypt. Open your mouth wide, and I will fill it.
Psalm 81:11	But my people didn’t listen to my voice. Israel desired none of me.
Psalm 81:12	So I let them go after the stubbornness of their hearts, that they might walk in their own counsels.
Psalm 81:13	Oh that my people would listen to me, that Israel would walk in my ways!
Psalm 81:14	I would soon subdue their enemies, and turn my hand against their adversaries.
Psalm 81:15	The haters of Yahweh would cringe before him, and their punishment would last forever.
Psalm 81:16	But he would have also fed them with the finest of the wheat. I will satisfy you with honey out of the rock.”
Psalm 82:1	A Psalm by Asaph. God presides in the great assembly. He judges among the gods.
Psalm 82:2	“How long will you judge unjustly, and show partiality to the wicked?” Selah.
Psalm 82:3	“Defend the weak, the poor, and the fatherless. Maintain the rights of the poor and oppressed.
Psalm 82:4	Rescue the weak and needy. Deliver them out of the hand of the wicked.”
Psalm 82:5	They don’t know, neither do they understand. They walk back and forth in darkness. All the foundations of the earth are shaken.
Psalm 82:6	I said, “You are gods, all of you are sons of the Most High.
Psalm 82:7	Nevertheless you shall die like men, and fall like one of the rulers.”
Psalm 82:8	Arise, God, judge the earth, for you inherit all of the nations.
Psalm 83:1	A song. A Psalm by Asaph. God, don’t keep silent. Don’t keep silent, and don’t be still, God.
Psalm 83:2	For, behold, your enemies are stirred up. Those who hate you have lifted up their heads.
Psalm 83:3	They conspire with cunning against your people. They plot against your cherished ones.
Psalm 83:4	“Come,” they say, “and let’s destroy them as a nation, that the name of Israel may be remembered no more.”
Psalm 83:5	For they have conspired together with one mind. They form an alliance against you.
Psalm 83:6	The tents of Edom and the Ishmaelites; Moab, and the Hagrites;
Psalm 83:7	Gebal, Ammon, and Amalek; Philistia with the inhabitants of Tyre;
Psalm 83:8	Assyria also is joined with them. They have helped the children of Lot. Selah.
Psalm 83:9	Do to them as you did to Midian, as to Sisera, as to Jabin, at the river Kishon;
Psalm 83:10	who perished at Endor, who became as dung for the earth.
Psalm 83:11	Make their nobles like Oreb and Zeeb; yes, all their princes like Zebah and Zalmunna;
Psalm 83:12	who said, “Let us take possession of God’s pasturelands.”
Psalm 83:13	My God, make them like tumbleweed; like chaff before the wind.
Psalm 83:14	As the fire that burns the forest, as the flame that sets the mountains on fire,
Psalm 83:15	so pursue them with your tempest, and terrify them with your storm.
Psalm 83:16	Fill their faces with confusion, that they may seek your name, Yahweh.
Psalm 83:17	Let them be disappointed and dismayed forever. Yes, let them be confounded and perish;
Psalm 83:18	that they may know that you alone, whose name is Yahweh, are the Most High over all the earth.
Psalm 84:1	For the Chief Musician. On an instrument of Gath. A Psalm by the sons of Korah. How lovely are your dwellings, Yahweh of Armies!
Psalm 84:2	My soul longs, and even faints for the courts of Yahweh. My heart and my flesh cry out for the living God.
Psalm 84:3	Yes, the sparrow has found a home, and the swallow a nest for herself, where she may have her young, near your altars, Yahweh of Armies, my King, and my God.
Psalm 84:4	Blessed are those who dwell in your house. They are always praising you. Selah.
Psalm 84:5	Blessed are those whose strength is in you; who have set their hearts on a pilgrimage.
Psalm 84:6	Passing through the valley of Weeping, they make it a place of springs. Yes, the autumn rain covers it with blessings.
Psalm 84:7	They go from strength to strength. Everyone of them appears before God in Zion.
Psalm 84:8	Yahweh, God of Armies, hear my prayer. Listen, God of Jacob. Selah.
Psalm 84:9	Behold, God our shield, look at the face of your anointed.
Psalm 84:10	For a day in your courts is better than a thousand. I would rather be a doorkeeper in the house of my God, than to dwell in the tents of wickedness.
Psalm 84:11	For Yahweh God is a sun and a shield. Yahweh will give grace and glory. He withholds no good thing from those who walk blamelessly.
Psalm 84:12	Yahweh of Armies, blessed is the man who trusts in you.
Psalm 85:1	For the Chief Musician. A Psalm by the sons of Korah. Yahweh, you have been favorable to your land. You have restored the fortunes of Jacob.
Psalm 85:2	You have forgiven the iniquity of your people. You have covered all their sin. Selah.
Psalm 85:3	You have taken away all your wrath. You have turned from the fierceness of your anger.
Psalm 85:4	Turn us, God of our salvation, and cause your indignation toward us to cease.
Psalm 85:5	Will you be angry with us forever? Will you draw out your anger to all generations?
Psalm 85:6	Won’t you revive us again, that your people may rejoice in you?
Psalm 85:7	Show us your loving kindness, Yahweh. Grant us your salvation.
Psalm 85:8	I will hear what God, Yahweh, will speak, for he will speak peace to his people, his saints; but let them not turn again to folly.
Psalm 85:9	Surely his salvation is near those who fear him, that glory may dwell in our land.
Psalm 85:10	Mercy and truth meet together. Righteousness and peace have kissed each other.
Psalm 85:11	Truth springs out of the earth. Righteousness has looked down from heaven.
Psalm 85:12	Yes, Yahweh will give that which is good. Our land will yield its increase.
Psalm 85:13	Righteousness goes before him, And prepares the way for his steps.
Psalm 86:1	A Prayer by David. Hear, Yahweh, and answer me, for I am poor and needy.
Psalm 86:2	Preserve my soul, for I am godly. You, my God, save your servant who trusts in you.
Psalm 86:3	Be merciful to me, Lord, for I call to you all day long.
Psalm 86:4	Bring joy to the soul of your servant, for to you, Lord, do I lift up my soul.
Psalm 86:5	For you, Lord, are good, and ready to forgive; abundant in loving kindness to all those who call on you.
Psalm 86:6	Hear, Yahweh, my prayer. Listen to the voice of my petitions.
Psalm 86:7	In the day of my trouble I will call on you, for you will answer me.
Psalm 86:8	There is no one like you among the gods, Lord, nor any deeds like your deeds.
Psalm 86:9	All nations you have made will come and worship before you, Lord. They shall glorify your name.
Psalm 86:10	For you are great, and do wondrous things. You are God alone.
Psalm 86:11	Teach me your way, Yahweh. I will walk in your truth. Make my heart undivided to fear your name.
Psalm 86:12	I will praise you, Lord my God, with my whole heart. I will glorify your name forevermore.
Psalm 86:13	For your loving kindness is great toward me. You have delivered my soul from the lowest Sheol.
Psalm 86:14	God, the proud have risen up against me. A company of violent men have sought after my soul, and they don’t hold regard for you before them.
Psalm 86:15	But you, Lord, are a merciful and gracious God, slow to anger, and abundant in loving kindness and truth.
Psalm 86:16	Turn to me, and have mercy on me! Give your strength to your servant. Save the son of your handmaid.
Psalm 86:17	Show me a sign of your goodness, that those who hate me may see it, and be shamed, because you, Yahweh, have helped me, and comforted me.
Psalm 87:1	A Psalm by the sons of Korah; a Song. His foundation is in the holy mountains.
Psalm 87:2	Yahweh loves the gates of Zion more than all the dwellings of Jacob.
Psalm 87:3	Glorious things are spoken about you, city of God. Selah.
Psalm 87:4	I will record Rahab and Babylon among those who acknowledge me. Behold, Philistia, Tyre, and also Ethiopia: “This one was born there.”
Psalm 87:5	Yes, of Zion it will be said, “This one and that one was born in her;” the Most High himself will establish her.
Psalm 87:6	Yahweh will count, when he writes up the peoples, “This one was born there.” Selah.
Psalm 87:7	Those who sing as well as those who dance say, “All my springs are in you.”
Psalm 88:1	A Song. A Psalm by the sons of Korah. For the Chief Musician. To the tune of “The Suffering of Affliction.” A contemplation by Heman, the Ezrahite. Yahweh, the God of my salvation, I have cried day and night before you.
Psalm 88:2	Let my prayer enter into your presence. Turn your ear to my cry.
Psalm 88:3	For my soul is full of troubles. My life draws near to Sheol.
Psalm 88:4	I am counted among those who go down into the pit. I am like a man who has no help,
Psalm 88:5	set apart among the dead, like the slain who lie in the grave, whom you remember no more. They are cut off from your hand.
Psalm 88:6	You have laid me in the lowest pit, in the darkest depths.
Psalm 88:7	Your wrath lies heavily on me. You have afflicted me with all your waves. Selah.
Psalm 88:8	You have taken my friends from me. You have made me an abomination to them. I am confined, and I can’t escape.
Psalm 88:9	My eyes are dim from grief. I have called on you daily, Yahweh. I have spread out my hands to you.
Psalm 88:10	Do you show wonders to the dead? Do the dead rise up and praise you? Selah.
Psalm 88:11	Is your loving kindness declared in the grave? Or your faithfulness in Destruction?
Psalm 88:12	Are your wonders made known in the dark? Or your righteousness in the land of forgetfulness?
Psalm 88:13	But to you, Yahweh, I have cried. In the morning, my prayer comes before you.
Psalm 88:14	Yahweh, why do you reject my soul? Why do you hide your face from me?
Psalm 88:15	I am afflicted and ready to die from my youth up. While I suffer your terrors, I am distracted.
Psalm 88:16	Your fierce wrath has gone over me. Your terrors have cut me off.
Psalm 88:17	They came around me like water all day long. They completely engulfed me.
Psalm 88:18	You have put lover and friend far from me, and my friends into darkness.
Psalm 89:1	A contemplation by Ethan, the Ezrahite. I will sing of the loving kindness of Yahweh forever. With my mouth, I will make known your faithfulness to all generations.
Psalm 89:2	I indeed declare, “Love stands firm forever. You established the heavens. Your faithfulness is in them.”
Psalm 89:3	“I have made a covenant with my chosen one, I have sworn to David, my servant,
Psalm 89:4	‘I will establish your seed forever, and build up your throne to all generations.’” Selah.
Psalm 89:5	The heavens will praise your wonders, Yahweh; your faithfulness also in the assembly of the holy ones.
Psalm 89:6	For who in the skies can be compared to Yahweh? Who among the sons of the heavenly beings is like Yahweh,
Psalm 89:7	a very awesome God in the council of the holy ones, to be feared above all those who are around him?
Psalm 89:8	Yahweh, God of Armies, who is a mighty one, like you? Yah, your faithfulness is around you.
Psalm 89:9	You rule the pride of the sea. When its waves rise up, you calm them.
Psalm 89:10	You have broken Rahab in pieces, like one of the slain. You have scattered your enemies with your mighty arm.
Psalm 89:11	The heavens are yours. The earth also is yours; the world and its fullness. You have founded them.
Psalm 89:12	The north and the south, you have created them. Tabor and Hermon rejoice in your name.
Psalm 89:13	You have a mighty arm. Your hand is strong, and your right hand is exalted.
Psalm 89:14	Righteousness and justice are the foundation of your throne. Loving kindness and truth go before your face.
Psalm 89:15	Blessed are the people who learn to acclaim you. They walk in the light of your presence, Yahweh.
Psalm 89:16	In your name they rejoice all day. In your righteousness, they are exalted.
Psalm 89:17	For you are the glory of their strength. In your favor, our horn will be exalted.
Psalm 89:18	For our shield belongs to Yahweh; our king to the Holy One of Israel.
Psalm 89:19	Then you spoke in vision to your saints, and said, “I have bestowed strength on the warrior. I have exalted a young man from the people.
Psalm 89:20	I have found David, my servant. I have anointed him with my holy oil,
Psalm 89:21	with whom my hand shall be established. My arm will also strengthen him.
Psalm 89:22	No enemy will tax him. No wicked man will oppress him.
Psalm 89:23	I will beat down his adversaries before him, and strike those who hate him.
Psalm 89:24	But my faithfulness and my loving kindness will be with him. In my name, his horn will be exalted.
Psalm 89:25	I will set his hand also on the sea, and his right hand on the rivers.
Psalm 89:26	He will call to me, ‘You are my Father, my God, and the rock of my salvation!’
Psalm 89:27	I will also appoint him my firstborn, the highest of the kings of the earth.
Psalm 89:28	I will keep my loving kindness for him forevermore. My covenant will stand firm with him.
Psalm 89:29	I will also make his seed endure forever, and his throne as the days of heaven.
Psalm 89:30	If his children forsake my law, and don’t walk in my ordinances;
Psalm 89:31	if they break my statutes, and don’t keep my commandments;
Psalm 89:32	then I will punish their sin with the rod, and their iniquity with stripes.
Psalm 89:33	But I will not completely take my loving kindness from him, nor allow my faithfulness to fail.
Psalm 89:34	I will not break my covenant, nor alter what my lips have uttered.
Psalm 89:35	Once have I sworn by my holiness, I will not lie to David.
Psalm 89:36	His seed will endure forever, his throne like the sun before me.
Psalm 89:37	It will be established forever like the moon, the faithful witness in the sky.” Selah.
Psalm 89:38	But you have rejected and spurned. You have been angry with your anointed.
Psalm 89:39	You have renounced the covenant of your servant. You have defiled his crown in the dust.
Psalm 89:40	You have broken down all his hedges. You have brought his strongholds to ruin.
Psalm 89:41	All who pass by the way rob him. He has become a reproach to his neighbors.
Psalm 89:42	You have exalted the right hand of his adversaries. You have made all of his enemies rejoice.
Psalm 89:43	Yes, you turn back the edge of his sword, and haven’t supported him in battle.
Psalm 89:44	You have ended his splendor, and thrown his throne down to the ground.
Psalm 89:45	You have shortened the days of his youth. You have covered him with shame. Selah.
Psalm 89:46	How long, Yahweh? Will you hide yourself forever? Will your wrath burn like fire?
Psalm 89:47	Remember how short my time is! For what vanity have you created all the children of men!
Psalm 89:48	What man is he who shall live and not see death, who shall deliver his soul from the power of Sheol? Selah.
Psalm 89:49	Lord, where are your former loving kindnesses, which you swore to David in your faithfulness?
Psalm 89:50	Remember, Lord, the reproach of your servants, how I bear in my heart the taunts of all the mighty peoples,
Psalm 89:51	With which your enemies have mocked, Yahweh, with which they have mocked the footsteps of your anointed one.
Psalm 89:52	Blessed be Yahweh forevermore. Amen, and Amen.
Psalm 90:1	A Prayer by Moses, the man of God. Lord, you have been our dwelling place for all generations.
Psalm 90:2	Before the mountains were brought forth, before you had formed the earth and the world, even from everlasting to everlasting, you are God.
Psalm 90:3	You turn man to destruction, saying, “Return, you children of men.”
Psalm 90:4	For a thousand years in your sight are just like yesterday when it is past, like a watch in the night.
Psalm 90:5	You sweep them away as they sleep. In the morning they sprout like new grass.
Psalm 90:6	In the morning it sprouts and springs up. By evening, it is withered and dry.
Psalm 90:7	For we are consumed in your anger. We are troubled in your wrath.
Psalm 90:8	You have set our iniquities before you, our secret sins in the light of your presence.
Psalm 90:9	For all our days have passed away in your wrath. We bring our years to an end as a sigh.
Psalm 90:10	The days of our years are seventy, or even by reason of strength eighty years; yet their pride is but labor and sorrow, for it passes quickly, and we fly away.
Psalm 90:11	Who knows the power of your anger, your wrath according to the fear that is due to you?
Psalm 90:12	So teach us to number our days, that we may gain a heart of wisdom.
Psalm 90:13	Relent, Yahweh! How long? Have compassion on your servants!
Psalm 90:14	Satisfy us in the morning with your loving kindness, that we may rejoice and be glad all our days.
Psalm 90:15	Make us glad for as many days as you have afflicted us, for as many years as we have seen evil.
