1	Then Job answered the LORD, and said:
Psalm 74:10	How long, O God, shall the adversary reproach? Shall the enemy blaspheme Thy name for ever?
Psalm 74:11	Why withdrawest Thou Thy hand, even Thy right hand? Draw it out of Thy bosom and consume them.
Psalm 74:12	Yet God is my King of old, Working salvation in the midst of the earth.
Psalm 74:13	Thou didst break the sea in pieces by Thy strength; Thou didst shatter the heads of the sea-monsters in the waters.
Psalm 74:14	Thou didst crush the heads of leviathan, Thou gavest him to be food to the folk inhabiting the wilderness.
Psalm 74:15	Thou didst cleave fountain and brook; Thou driedst up ever-flowing rivers.
Psalm 74:16	Thine is the day, Thine also the night; Thou hast established luminary and sun.
Psalm 74:17	Thou hast set all the borders of the earth; Thou hast made summer and winter.
Psalm 74:18	Remember this, how the enemy hath reproached the LORD, And how a base people have blasphemed Thy name.
Psalm 74:19	O deliver not the soul of Thy turtle-dove unto the wild beast; Forget not the life of Thy poor for ever.
Psalm 74:20	Look upon the covenant; For the dark places of the land are full of the habitations of violence.
Psalm 74:21	O let not the oppressed turn back in confusion; Let the poor and needy praise Thy name.
Psalm 74:22	Arise, O God, plead Thine own cause; Remember Thy reproach all the day at the hand of the base man.
Psalm 74:23	Forget not the voice of Thine adversaries, The tumult of those that rise up against Thee which ascendeth continually.
Psalm 75:1	For the Leader; Al-tashheth. A Psalm of Asaph, a Song. We give thanks unto Thee, O God, We give thanks, and Thy name is near; Men tell of Thy wondrous works.
Psalm 75:2	When I take the appointed time, I Myself will judge with equity.
Psalm 75:3	When the earth and all the inhabitants thereof are dissolved, I Myself establish the pillars of it.’ Selah
Psalm 75:4	I say unto the arrogant ‘Deal not arrogantly’; And to the wicked ‘Lift not up the horn.’
Psalm 75:5	Lift not up your horn on high; Speak not insolence with a haughty neck.
Psalm 75:6	For neither from the east, nor from the west, Nor yet from the wilderness, cometh lifting up.
Psalm 75:7	For God is judge; He putteth down one, and lifteth up another.
Psalm 75:8	For in the hand of the LORD there is a cup, with foaming wine, full of mixture, And He poureth out of the same; Surely the dregs thereof, all the wicked of the earth shall drain them, and drink them.
Psalm 75:9	But as for me, I will declare for ever, I will sing praises to the God of Jacob.
Psalm 75:10	All the horns of the wicked also will I cut off; But the horns of the righteous shall be lifted up.
Psalm 76:1	For the Leader; with string-music. A Psalm of Asaph, a Song. In Judah is God known; His name is great in Israel.
Psalm 76:2	In Salem also is set His tabernacle, And His dwelling-place in Zion.
Psalm 76:3	There He broke the fiery shafts of the bow; The shield, and the sword, and the battle. Selah
Psalm 76:4	Glorious art Thou and excellent, coming down from the mountains of prey.
Psalm 76:5	The stout-hearted are bereft of sense, they sleep their sleep; And none of the men of might have found their hands.
Psalm 76:6	At Thy rebuke, O God of Jacob, They are cast into a dead sleep, the riders also and the horses.
Psalm 76:7	Thou, even Thou, art terrible; And who may stand in Thy sight when once Thou art angry?
Psalm 76:8	Thou didst cause sentence to be heard from heaven; The earth feared, and was still,
Psalm 76:9	When God arose to judgment, To save all the humble of the earth. Selah
Psalm 76:10	Surely the wrath of man shall praise Thee; The residue of wrath shalt Thou gird upon Thee.
Psalm 76:11	Vow, and pay unto the LORD your God; Let all that are round about Him bring presents unto Him that is to be feared;
Psalm 76:12	He minisheth the spirit of princes; He is terrible to the kings of the earth.
Psalm 77:1	For the Leader; for Jeduthun. A Psalm of Asaph. I will lift up my voice unto God, an cry; I will lift up my voice unto God, that He may give ear unto me.
Psalm 77:2	In the day of my trouble I seek the Lord; With my hand uplifted, [mine eye] streameth in the night without ceasing; My soul refuseth to be comforted.
Psalm 77:3	When I think thereon, O God, I must moan; When I muse thereon, my spirit fainteth. Selah
Psalm 77:4	Thou holdest fast the lids of mine eyes; I am troubled, and cannot speak.
Psalm 77:5	I have pondered the days of old, the years of ancient times.
Psalm 77:6	In the night I will call to remembrance my song; I will commune with mine own heart; And my spirit maketh diligent search
Psalm 77:7	Will the Lord cast off for ever? And will He be favourable no more?
Psalm 77:8	Is His mercy clean gone for ever? Is His promise come to an end for evermore?
Psalm 77:9	Hath God forgotten to be gracious? Hath He in anger shut up his compassions?’ Selah
Psalm 77:10	And I say ‘This is my weakness, That the right hand of the Most High could change.
Psalm 77:11	I will make mention of the deeds of the LORD; Yea, I will remember Thy wonders of old.
Psalm 77:12	I will meditate also upon all Thy work, And muse on Thy doings.’
Psalm 77:13	O God, Thy way is in holiness; Who is a great god like unto God?
Psalm 77:14	Thou art the God that doest wonders; Thou hast made known Thy strength among the peoples.
Psalm 77:15	Thou hast with Thine arm redeemed Thy people, The sons of Jacob and Joseph. Selah
Psalm 77:16	The waters saw Thee, O God; The waters saw Thee, they were in pain; The depths also trembled.
Psalm 77:17	The clouds flooded forth waters; The skies sent out a sound; Thine arrows also went abroad.
Psalm 77:18	The voice of Thy thunder was in the whirlwind; The lightnings lighted up the world; The earth trembled and shook.
Psalm 77:19	Thy way was in the sea, And Thy path in the great waters, And Thy footsteps were not known.
Psalm 77:20	Thou didst lead Thy people like a flock, By the hand of Moses and Aaron.
Psalm 78:1	Maschil of Asaph. Give ear, O my people, to my teaching; Incline your ears to the words of my mouth.
Psalm 78:2	I will open my mouth with a parable; I will utter dark sayings concerning days of old;
Psalm 78:3	That which we have heard and known, And our fathers have told us,
Psalm 78:4	We will not hide from their children, Telling to the generation to come the praises of the LORD, And His strength, and His wondrous works that He hath done.
Psalm 78:5	For He established a testimony in Jacob, And appointed a law in Israel, Which He commanded our fathers, That they should make them known to their children;
Psalm 78:6	That the generation to come might know them, even the children that should be born; Who should arise and tell them to their children,
Psalm 78:7	That they might put their confidence in God, And not forget the works of God, But keep His commandments;
Psalm 78:8	And might not be as their fathers, A stubborn and rebellious generation; A generation that set not their heart aright, And whose spirit was not stedfast with God.
Psalm 78:9	The children of Ephraim were as archers handling the bow, That turned back in the day of battle.
Psalm 78:10	They kept not the covenant of God, And refused to walk in His law;
Psalm 78:11	And they forgot His doings, And His wondrous works that He had shown them.
Psalm 78:12	Marvellous things did He in the sight of their fathers, In the land of Egypt, in the field of Zoan.
Psalm 78:13	He cleaved the sea, and caused them to pass through; And He made the waters to stand as a heap.
Psalm 78:14	By day also He led them with a cloud, And all the night with a light of fire.
Psalm 78:15	He cleaved rocks in the wilderness, And gave them drink abundantly as out of the great deep.
Psalm 78:16	He brought streams also out of the rock, And caused waters to run down like rivers.
Psalm 78:17	Yet went they on still to sin against Him, To rebel against the Most High in the desert.
Psalm 78:18	And they tried God in their heart By asking food for their craving.
Psalm 78:19	Yea, they spoke against God; They said ‘Can God prepare a table in the wilderness?
Psalm 78:20	Behold, He smote the rock, that waters gushed out, And streams overflowed; Can He give bread also? Or will He provide flesh for His people?’
Psalm 78:21	Therefore the LORD heard, and was wroth; And a fire was kindled against Jacob, And anger also went up against Israel;
Psalm 78:22	Because they believed not in God, And trusted not in His salvation.
Psalm 78:23	And He commanded the skies above, And opened the doors of heaven;
Psalm 78:24	And He caused manna to rain upon them for food, And gave them of the corn of heaven.
Psalm 78:25	Man did eat the bread of the mighty; He sent them provisions to the full.
Psalm 78:26	He caused the east wind to set forth in heaven; And by His power He brought on the south wind.
Psalm 78:27	He caused flesh also to rain upon them as the dust, And winged fowl as the sand of the seas;
Psalm 78:28	And He let it fall in the midst of their camp, Round about their dwellings.
Psalm 78:29	So they did eat, and were well filled; And He gave them that which they craved.
Psalm 78:30	They were not estranged from their craving, Their food was yet in their mouths,
Psalm 78:31	When the anger of God went up against them, And slew of the lustieth among them, And smote down the young men of Israel.
Psalm 78:32	For all this they sinned still, And believed not in His wondrous works.
Psalm 78:33	Therefore He ended their days as a breath, And their years in terror.
Psalm 78:34	When He slew them, then they would inquire after Him, And turn back and seek God earnestly.
Psalm 78:35	And they remembered that God was their Rock, And the Most High God their redeemer.
Psalm 78:36	But they beguiled Him with their mouth, And lied unto Him with their tongue.
Psalm 78:37	For their heart was not stedfast with Him, Neither were they faithful in His covenant.
Psalm 78:38	But He, being full of compassion, forgiveth iniquity, and destroyeth not; Yea, many a time doth He turn His anger away, And doth not stir up all His wrath.
Psalm 78:39	So He remembered that they were but flesh, A wind that passeth away, and cometh not again.
Psalm 78:40	How oft did they rebel against Him in the wilderness, And grieve Him in the desert!
Psalm 78:41	And still again they tried God, And set bounds to the Holy One of Israel.
Psalm 78:42	They remembered not His hand, Nor the day when He redeemed them from the adversary.
Psalm 78:43	How He set His signs in Egypt, And His wonders in the field of Zoan;
Psalm 78:44	And turned their rivers into blood, So that they could not drink their streams.
Psalm 78:45	He sent among them swarms of flies, which devoured them; And frogs, which destroyed them.
Psalm 78:46	He gave also their increase unto the caterpillar, And their labour unto the locust.
Psalm 78:47	He destroyed their vines with hail, And their sycamore-trees with frost.
Psalm 78:48	He gave over their cattle also to the hail, And their flocks to fiery bolts.
Psalm 78:49	He sent forth upon them the fierceness of His anger, Wrath, and indignation, and trouble, A sending of messengers of evil.
Psalm 78:50	He levelled a path for His anger; He spared not their soul from death, But gave their life over to the pestilence;
Psalm 78:51	And smote all the first-born in Egypt, The first-fruits of their strength in the tents of Ham;
Psalm 78:52	But He made His own people to go forth like sheep, And guided them in the wilderness like a flock.
Psalm 78:53	And He led them safely, and they feared not; But the sea overwhelmed their enemies.
Psalm 78:54	And He brought them to His holy border, To the mountain, which His right hand had gotten.
Psalm 78:55	He drove out the nations also before them, And allotted them for an inheritance by line, And made the tribes of Israel to dwell in their tents.
Psalm 78:56	Yet they tried and provoked God, the Most High, And kept not His testimonies;
Psalm 78:57	But turned back, and dealt treacherously like their fathers; They were turned aside like a deceitful bow.
Psalm 78:58	For they provoked Him with their high places, And moved Him to jealousy with their graven images.
Psalm 78:59	God heard, and was wroth, And He greatly abhorred Israel;
Psalm 78:60	And He forsook the tabernacle of Shiloh, The tent which He had made to dwell among men;
Psalm 78:61	And delivered His strength into captivity, And His glory into the adversary’s hand.
Psalm 78:62	He gave His people over also unto the sword; And was wroth with His inheritance.
Psalm 78:63	Fire devoured their young men; And their virgins had no marriage-song.
Psalm 78:64	Their priests fell by the sword; And their widows made no lamentation.
Psalm 78:65	Then the Lord awaked as one asleep, Like a mighty man recovering from wine.
Psalm 78:66	And He smote His adversaries backward; He put upon them a perpetual reproach.
Psalm 78:67	Moreover He abhorred the tent of Joseph, And chose not the tribe of Ephraim;
Psalm 78:68	But chose the tribe of Judah, The mount Zion which He loved.
Psalm 78:69	And He built His sanctuary like the heights, Like the earth which He hath founded for ever.
Psalm 78:70	He chose David also His servant, And took him from the sheepfolds;
Psalm 78:71	From following the ewes that give suck He brought him, To be shepherd over Jacob His people, and Israel His inheritance.
Psalm 78:72	So he shepherded them according to the integrity of his heart; And lead them by the skilfulness of his hands.
Psalm 79:1	A Psalm of Asaph. O God, the heathen are come into Thine inheritance; They have defiled Thy holy temple; They have made Jerusalem into heaps.
Psalm 79:2	They have given the dead bodies of Thy servants to be food unto the fowls of the heaven, The flesh of Thy saints unto the beasts of the earth.
Psalm 79:3	They have shed their blood like water Round about Jerusalem, with none to bury them.
Psalm 79:4	We are become a taunt to our neighbours, A scorn and derision to them that are round about us.
Psalm 79:5	How long, O LORD, wilt Thou be angry for ever? How long will Thy jealousy burn like fire?
Psalm 79:6	Pour out Thy wrath upon the nations that know Thee not, And upon the kingdoms that call not upon Thy name.
Psalm 79:7	For they have devoured Jacob, And laid waste his habitation.
Psalm 79:8	Remember not against us the iniquities of our forefathers; Let Thy compassions speedily come to meet us; For we are brought very low.
Psalm 79:9	Help us, O God of our salvation, for the sake of the glory of Thy name; And deliver us, and forgive our sins, for Thy name’s sake.
Psalm 79:10	Wherefore should the nations say: ‘Where is their God?’ Let the avenging of Thy servants’ blood that is shed Be made known among the nations in our sight.
Psalm 79:11	Let the groaning of the prisoner come before Thee; According to the greatness of Thy power set free those that are appointed to death;
Psalm 79:12	And render unto our neighbours sevenfold into their bosom Their reproach, wherewith they have reproached Thee, O Lord.
Psalm 79:13	So we that are Thy people and the flock of Thy pasture Will give Thee thanks for ever; We will tell of Thy praise to all generations.
Psalm 80:1	For the Leader; upon Shoshannim. A testimony. A Psalm of Asaph. Give ear, O Shepherd of Israel, Thou that leadest Joseph like a flock; Thou that art enthroned upon the cherubim, shine forth.
Psalm 80:2	Before Ephraim and Benjamin and Manasseh, stir up Thy might, And come to save us.
Psalm 80:3	O God, restore us; And cause Thy face to shine, and we shall be saved.
Psalm 80:4	O LORD God of hosts, How long wilt Thou be angry against the prayer of Thy people?
Psalm 80:5	Thou hast fed them with the bread of tears, And given them tears to drink in large measure.
Psalm 80:6	Thou makest us a strife unto our neighbours; And our enemies mock as they please.
Psalm 80:7	O God of hosts, restore us; And cause Thy face to shine, and we shall be saved.
Psalm 80:8	Thou didst pluck up a vine out of Egypt; Thou didst drive out the nations, and didst plant it.
Psalm 80:9	Thou didst clear a place before it, And it took deep root, and filled the land.
Psalm 80:10	The mountains were covered with the shadow of it, And the mighty cedars with the boughs thereof.
Psalm 80:11	She sent out her branches unto the sea, And her shoots unto the River.
Psalm 80:12	Why hast Thou broken down her fences, So that all they that pass by the way do pluck her?
Psalm 80:13	The boar out of the wood doth ravage it, That which moveth in the field feedeth on it.
Psalm 80:14	O God of hosts, return, we beseech Thee; Look from heaven, and behold, and be mindful of this vine,
Psalm 80:15	And of the stock which Thy right hand hath planted, And the branch that Thou madest strong for Thyself.
Psalm 80:16	It is burned with fire, it is cut down; They perish at the rebuke of Thy countenance.
Psalm 80:17	Let Thy hand be upon the man of Thy right hand, Upon the son of man whom Thou madest strong for Thyself.
Psalm 80:18	So shall we not turn back from Thee; Quicken Thou us, and we will call upon Thy name.
Psalm 80:19	O LORD God of hosts, restore us; Cause Thy face to shine, and we shall be saved.
Psalm 81:1	For the Leader; upon the Gittith. [A Psalm] of Asaph. Sing aloud unto God our strength; Shout unto the God of Jacob.
Psalm 81:2	Take up the melody, and sound the timbrel, The sweet harp with the psaltery.
Psalm 81:3	Blow the horn at the new moon, At the full moon for our feast-day.
Psalm 81:4	For it is a statute for Israel, An ordinance of the God of Jacob.
Psalm 81:5	He appointed it in Joseph for a testimony, When He went forth against the land of Egypt. The speech of one that I knew not did I hear:
Psalm 81:6	I removed his shoulder from the burden; His hands were freed from the basket.
Psalm 81:7	Thou didst call in trouble, and I rescued thee; I answered thee in the secret place of thunder; I proved thee at the waters of Meribah. Selah
Psalm 81:8	Hear, O My people, and I will admonish thee: O Israel, if thou wouldest hearken unto Me!
Psalm 81:9	There shall no strange god be in thee; neither shalt thou worship any foreign god.
Psalm 81:10	I am the LORD thy God, who brought thee up out of the land of Egypt; open thy mouth wide, and I will fill it.
Psalm 81:11	But My people hearkened not to My voice; And Israel would none of Me.
Psalm 81:12	So I let them go after the stubbornness of their heart, That they might walk in their own counsels.
Psalm 81:13	Oh that My people would hearken unto Me, That Israel would walk in My ways!
Psalm 81:14	I would soon subdue their enemies, And turn My hand against their adversaries.
Psalm 81:15	The haters of the LORD should dwindle away before Him; And their punishment should endure for ever.
Psalm 81:16	They should also be fed with the fat of wheat; And with honey out of the rock would I satisfy thee.’
Psalm 82:1	A Psalm of Asaph. God standeth in the congregation of God; In the midst of the judges He judgeth:
Psalm 82:2	How long will ye judge unjustly, And respect the persons of the wicked? Selah
Psalm 82:3	Judge the poor and fatherless; Do justice to the afflicted and destitute.
Psalm 82:4	Rescue the poor and needy; Deliver them out of the hand of the wicked.
Psalm 82:5	They know not, neither do they understand; They go about in darkness; All the foundations of the earth are moved.
Psalm 82:6	I said: Ye are godlike beings, And all of you sons of the Most High.
Psalm 82:7	Nevertheless ye shall die like men, And fall like one of the princes.’
Psalm 82:8	Arise, O God, judge the earth; For Thou shalt possess all the nations.
Psalm 83:1	A Song, a Psalm of Asaph. O God, keep not Thou silence; Hold not Thy peace, and be not still, O God.
Psalm 83:2	For, lo, Thine enemies are in an uproar; And they that hate Thee have lifted up the head.
Psalm 83:3	They hold crafty converse against Thy people, And take counsel against Thy treasured ones.
Psalm 83:4	They have said: ‘Come, and let us cut them off from being a nation; That the name of Israel may be no more in remembrance.’
Psalm 83:5	For they have consulted together with one consent; Against Thee do they make a covenant;
Psalm 83:6	The tents of Edom and the Ishmaelites; Moab, and the Hagrites;
Psalm 83:7	Gebal, and Ammon, and Amalek; Philistia with the inhabitants of Tyre;
Psalm 83:8	Assyria also is joined with them; They have been an arm to the children of Lot. Selah
Psalm 83:9	Do Thou unto them as unto Midian; As to Sisera, as to Jabin, at the brook Kishon;
Psalm 83:10	Who were destroyed at En-dor; They became as dung for the earth.
Psalm 83:11	Make their nobles like Oreb and Zeeb, And like Zebah and Zalmunna all their princes;
Psalm 83:12	Who said: ‘Let us take to ourselves in possession The habitations of God.’
Psalm 83:13	O my God, make them like the whirling dust; As stubble before the wind.
Psalm 83:14	As the fire that burneth the forest, And as the flame that setteth the mountains ablaze;
Psalm 83:15	So pursue them with Thy tempest, And affright them with Thy storm.
Psalm 83:16	Fill their faces with shame; That they may seek Thy name, O LORD.
Psalm 83:17	Let them be ashamed and affrighted for ever; Yea, let them be abashed and perish;
Psalm 83:18	That they may know that it is Thou alone whose name is the LORD, The Most High over all the earth.
Psalm 84:1	For the Leader; upon the Gittith. A Psalm of the sons of Korah. How lovely are Thy tabernacles, O LORD of hosts!
Psalm 84:2	My soul yearneth, yea, even pineth for the courts of the LORD; My heart and my flesh sing for joy unto the living God.
Psalm 84:3	Yea, the sparrow hath found a house, and the swallow a nest for herself, Where she may lay her young; Thine altars, O LORD of hosts, My King, and my God—
Psalm 84:4	Happy are they that dwell in Thy house, They are ever praising Thee. Selah
Psalm 84:5	Happy is the man whose strength is in Thee; In whose heart are the highways.
Psalm 84:6	Passing through the valley of Baca they make it a place of springs; Yea, the early rain clotheth it with blessings.
Psalm 84:7	They go from strength to strength, Every one of them appeareth before God in Zion.
Psalm 84:8	O LORD God of hosts, hear my prayer; Give ear, O God of Jacob. Selah
Psalm 84:9	Behold, O God our shield, And look upon the face of Thine anointed.
Psalm 84:10	For a day in Thy courts is better than a thousand; I had rather stand at the threshold of the house of my God, Than to dwell in the tents of wickedness.
Psalm 84:11	For the LORD God is a sun and a shield; The LORD giveth grace and glory; No good thing will He withhold from them that walk uprightly.
Psalm 84:12	O LORD of hosts, Happy is the man that trusteth in Thee.
Psalm 85:1	For the Leader. A Psalm of the sons of Korah. LORD, Thou hast been favourable unto Thy land, Thou hast turned the captivity of Jacob.
Psalm 85:2	Thou hast forgiven the iniquity of Thy people, Thou hast pardoned all their sin. Selah
Psalm 85:3	Thou hast withdrawn all Thy wrath; Thou hast turned from the fierceness of Thine anger.
Psalm 85:4	Restore us, O God of our salvation, And cause Thine indignation toward us to cease.
Psalm 85:5	Wilt Thou be angry with us for ever? Wilt Thou draw out Thine anger to all generations?
Psalm 85:6	Wilt Thou not quicken us again, That Thy people may rejoice in Thee?
Psalm 85:7	Show us Thy mercy, O LORD, And grant us Thy salvation.
Psalm 85:8	I will hear what God the LORD will speak; For He will speak peace unto His people, and to His saints; But let them not turn back to folly.
Psalm 85:9	Surely His salvation is nigh them that fear Him; That glory may dwell in our land.
Psalm 85:10	Mercy and truth are met together; Righteousness and peace have kissed each other.
Psalm 85:11	Truth springeth out of the earth; And righteousness hath looked down from heaven.
Psalm 85:12	Yea, the LORD will give that which is good; And our land shall yield her produce.
Psalm 85:13	Righteousness shall go before Him, And shall make His footsteps a way.
Psalm 86:1	A Prayer of David. Incline Thine ear, O LORD, and answer me; For I am poor and needy.
Psalm 86:2	Keep my soul, for I am godly; O Thou my God, save Thy servant that trusteth in Thee.
Psalm 86:3	Be gracious unto me, O Lord; For unto Thee do I cry all the day.
Psalm 86:4	Rejoice the soul of Thy servant; For unto Thee, O Lord, do I lift up my soul.
Psalm 86:5	For Thou, Lord, art good, and ready to pardon, And plenteous in mercy unto all them that call upon Thee.
Psalm 86:6	Give ear, O LORD, unto my prayer; And attend unto the voice of my supplications.
Psalm 86:7	In the day of my trouble I call upon Thee; For Thou wilt answer me.
Psalm 86:8	There is none like unto Thee among the gods, O Lord, And there are no works like Thine.
Psalm 86:9	All nations whom Thou hast made shall come and prostrate themselves before Thee, O Lord; And they shall glorify Thy name.
Psalm 86:10	For Thou art great, and doest wondrous things; Thou art God alone.
Psalm 86:11	Teach me, O LORD, Thy way, that I may walk in Thy truth; Make one my heart to fear Thy name.
Psalm 86:12	I will thank Thee, O Lord my God, with my whole heart; And I will glorify Thy name for evermore.
Psalm 86:13	For great is Thy mercy toward me; And Thou hast delivered my soul from the lowest nether-world.
Psalm 86:14	O God, the proud are risen up against me, And the company of violent men have sought after my soul, And have not set Thee before them.
Psalm 86:15	But Thou, O Lord, art a God full of compassion and gracious, Slow to anger, and plenteous in mercy and truth.
Psalm 86:16	O turn unto me, and be gracious unto me; Give Thy strength unto Thy servant, And save the son of Thy handmaid.
Psalm 86:17	Work in my behalf a sign for good; That they that hate me may see it, and be put to shame, Because Thou, LORD, hast helped me, and comforted me.
Psalm 87:1	A Psalm of the sons of Korah; a Song. His foundation is in the holy mountains.
Psalm 87:2	The LORD loveth the gates of Zion More than all the dwellings of Jacob.
Psalm 87:3	Glorious things are spoken of Thee, O city of God. Selah
Psalm 87:4	I will make mention of Rahab and Babylon as among them that know Me; Behold Philistia, and Tyre, with Ethiopia; This one was born there.’
Psalm 87:5	But of Zion it shall be said: ‘This man and that was born in her; And the Most High Himself doth establish her.’
Psalm 87:6	The LORD shall count in the register of the peoples: ‘This one was born there.’ Selah
Psalm 87:7	And whether they sing or dance, All my thoughts are in Thee.
Psalm 88:1	A Song, a Psalm of the sons of Korah; for the Leader; upon Mahalath Leannoth. Maschil of Heman the Ezrahite. O LORD, God of my salvation, What time I cry in the night before Thee,
Psalm 88:2	Let my prayer come before Thee, Incline Thine ear unto my cry.
Psalm 88:3	For my soul is sated with troubles, And my life draweth nigh unto the grave.
Psalm 88:4	I am counted with them that go down into the pit; I am become as a man that hath no help;
Psalm 88:5	Set apart among the dead, Like the slain that lie in the grave, Whom Thou rememberest no more; And they are cut off from Thy hand.
Psalm 88:6	Thou hast laid me in the nether-most pit, In dark places, in the deeps.
Psalm 88:7	Thy wrath lieth hard upon me, And all Thy waves Thou pressest down. Selah
Psalm 88:8	Thou hast put mine acquaintance far from me; Thou hast made me an abomination unto them; I am shut up, and I cannot come forth.
Psalm 88:9	Mine eye languisheth by reason of affliction; I have called upon Thee, O LORD, every day, I have spread forth my hands unto Thee.
Psalm 88:10	Wilt Thou work wonders for the dead? Or shall the shades arise and give Thee thanks? Selah
Psalm 88:11	Shall Thy mercy be declared in the grave? Or Thy faithfulness in destruction?
Psalm 88:12	Shall Thy wonders be known in the dark? And Thy righteousness in the land of forgetfulness?
Psalm 88:13	But as for me, unto Thee, O LORD, do I cry, And in the morning doth my prayer come to meet Thee.
Psalm 88:14	LORD, why castest Thou off my soul? Why hidest Thou Thy face from me?
Psalm 88:15	I am afflicted and at the point of death from my youth up; I have borne Thy terrors, I am distracted.
Psalm 88:16	Thy fierce wrath is gone over me; Thy terrors have cut me off.
Psalm 88:17	They came round about me like water all the day; They compassed me about together.
Psalm 88:18	Friend and companion hast Thou put far from me, And mine acquaintance into darkness.
Psalm 89:1	Maschil of Ethan the Ezrahite. I will sing of the mercies of the LORD for ever; To all generations will I make known Thy faithfulness with my mouth.
Psalm 89:2	For I have said: ‘For ever is mercy built; In the very heavens Thou dost establish Thy faithfulness.
Psalm 89:3	I have made a covenant with My chosen, I have sworn unto David My servant:
Psalm 89:4	For ever will I establish thy seed, And build up thy throne to all generations.’ Selah
Psalm 89:5	So shall the heavens praise Thy wonders, O LORD, Thy faithfulness also in the assembly of the holy ones.
Psalm 89:6	For who in the skies can be compared unto the LORD, Who among the sons of might can be likened unto the LORD,
Psalm 89:7	A God dreaded in the great council of the holy ones, And feared of all them that are about Him?
Psalm 89:8	O LORD God of hosts, Who is a mighty one, like unto Thee, O LORD? And Thy faithfulness is round about Thee.
Psalm 89:9	Thou rulest the proud swelling of the sea; When the waves thereof arise, Thou stillest them.
Psalm 89:10	Thou didst crush Rahab, as one that is slain; Thou didst scattered Thine enemies with the arm of Thy strength.
Psalm 89:11	Thine are the heavens, Thine also the earth; The world and the fulness thereof, Thou hast founded them.
Psalm 89:12	The north and the south, Thou hast created them; Tabor and Hermon rejoice in Thy name.
Psalm 89:13	Thine is an arm with might; Strong is Thy hand, and exalted is Thy right hand.
Psalm 89:14	Righteousness and justice are the foundation of Thy throne; Mercy and truth go before Thee.
Psalm 89:15	Happy is the people that know the joyful shout; They walk, O LORD, in the light of Thy countenance.
Psalm 89:16	In Thy name do they rejoice all the day; And through Thy righteousness are they exalted.
Psalm 89:17	For Thou art the glory of their strength; And in Thy favour our horn is exalted.
Psalm 89:18	For of the LORD is our shield; And the Holy One of Israel is our king.
Psalm 89:19	Then Thou spokest in vision to Thy godly ones, And saidst: ‘I have laid help upon one that is mighty; I have exalted one chosen out of the people.
Psalm 89:20	I have found David My servant; With My holy oil have I anointed him;
Psalm 89:21	With whom My hand shall be established; Mine arm also shall strengthen him.
Psalm 89:22	The enemy shall not exact from him; Nor the son of wickedness afflict him.
Psalm 89:23	And I will beat to pieces his adversaries before him, And smite them that hate him.
Psalm 89:24	But My faithfulness and My mercy shall be with him; And through My name shall his horn be exalted.
Psalm 89:25	I will set his hand also on the sea, And his right hand on the rivers.
Psalm 89:26	He shall call unto Me: Thou art my Father, My God, and the rock of my salvation.
Psalm 89:27	I also will appoint him first-born, The highest of the kings of the earth.
Psalm 89:28	For ever will I keep for him My mercy, And My covenant shall stand fast with him.
Psalm 89:29	His seed also will I make to endure for ever, And his throne as the days of heaven.
Psalm 89:30	If his children forsake My law, And walk not in Mine ordinances;
Psalm 89:31	If they profane My statutes, And keep not My commandments;
Psalm 89:32	Then will I visit their transgression with the rod, And their iniquity with strokes.
Psalm 89:33	But My mercy will I not break off from him, Nor will I be false to My faithfulness.
Psalm 89:34	My covenant will I not profane, Nor alter that which is gone out of My lips.
Psalm 89:35	Once have I sworn by My holiness: Surely I will not be false unto David;
Psalm 89:36	His seed shall endure for ever, And his throne as the sun before Me.
Psalm 89:37	It shall be established for ever as the moon; And be stedfast as the witness in sky.’ Selah
Psalm 89:38	But Thou hast cast off and rejected, Thou hast been wroth with Thine anointed.
Psalm 89:39	Thou hast abhorred the covenant of Thy servant; Thou hast profaned his crown even to the ground.
Psalm 89:40	Thou hast broken down all his fences; Thou hast brought his strongholds to ruin.
Psalm 89:41	All that pass by the way spoil him; He is become a taunt to his neighbours.
Psalm 89:42	Thou hast exalted the right hand of his adversaries; Thou hast made all his enemies to rejoice.
Psalm 89:43	Yea, Thou turnest back the edge of his sword, And hast not made him to stand in the battle.
Psalm 89:44	Thou hast made his brightness to cease, And cast his throne down to the ground.
Psalm 89:45	The days of his youth hast Thou shortened; Thou hast covered him with shame. Selah
Psalm 89:46	How long, O LORD, wilt Thou hide Thyself for ever? How long shall Thy wrath burn like fire?
Psalm 89:47	O remember how short my time is; For what vanity hast Thou created all the children of men!
Psalm 89:48	What man is he that liveth and shall not see death, That shall deliver his soul from the power of the grave? Selah
Psalm 89:49	Where are Thy former mercies, O Lord, Which Thou didst swear unto David in Thy faithfulness?
Psalm 89:50	Remember, Lord, the taunt of Thy servants; How I do bear in my bosom [the taunt of] so many peoples;
Psalm 89:51	Wherewith Thine enemies have taunted, O LORD, Wherewith they have taunted the footsteps of Thine anointed.
Psalm 89:52	Blessed be the LORD for evermore. Amen, and Amen.
Psalm 90:1	A Prayer of Moses the man of God. Lord, Thou hast been our dwelling-place in all generations.
Psalm 90:2	Before the mountains were brought forth, Or ever Thou hadst formed the earth and the world, Even from everlasting to everlasting, Thou art God.
Psalm 90:3	Thou turnest man to contrition; And sayest: ‘Return, ye children of men.’
Psalm 90:4	For a thousand years in Thy sight Are but as yesterday when it is past, And as a watch in the night.
