1	And Job answereth Jehovah and saith:—
Psalm 73:10	Therefore do His people return hither, And waters of fulness are wrung out to them.
Psalm 73:11	And they have said, ‘How hath God known? And is there knowledge in the Most High?’
Psalm 73:12	Lo, these are the wicked and easy ones of the age, They have increased strength.
Psalm 73:13	Only—a vain thing! I have purified my heart, And I wash in innocency my hands,
Psalm 73:14	And I am plagued all the day, And my reproof is every morning.
Psalm 73:15	If I have said, ‘I recount thus,’ Lo, a generation of Thy sons I have deceived.
Psalm 73:16	And I think to know this, Perverseness it is in mine eyes,
Psalm 73:17	Till I come in to the sanctuaries of God, I attend to their latter end.
Psalm 73:18	Only, in slippery places Thou dost set them, Thou hast caused them to fall to desolations.
Psalm 73:19	How have they become a desolation as in a moment, They have been ended—consumed from terrors.
Psalm 73:20	As a dream from awakening, O Lord, In awaking, their image Thou despisest.
Psalm 73:21	For my heart doth show itself violent, And my reins prick themselves,
Psalm 73:22	And I am brutish, and do not know. A beast I have been with Thee.
Psalm 73:23	And I am continually with Thee, Thou hast laid hold on my right hand.
Psalm 73:24	With Thy counsel Thou dost lead me, And after honour dost receive me.
Psalm 73:25	Whom have I in the heavens? And with Thee none I have desired in earth.
Psalm 73:26	Consumed hath been my flesh and my heart, The rock of my heart and my portion is God to the age.
Psalm 73:27	For, lo, those far from Thee do perish, Thou hast cut off every one, Who is going a whoring from Thee.
Psalm 73:28	And I—nearness of God to me is good, I have placed in the Lord Jehovah my refuge, To recount all Thy works!
Psalm 74:1	An Instruction of Asaph. Why, O God, hast Thou cast off for ever? Thine anger smoketh against the flock of Thy pasture.
Psalm 74:2	Remember Thy company. Thou didst purchase of old, Thou didst redeem the rod of Thy inheritance, This mount Zion—Thou didst dwell in it.
Psalm 74:3	Lift up Thy steps to the perpetual desolations, Everything the enemy did wickedly in the sanctuary.
Psalm 74:4	Roared have thine adversaries, In the midst of Thy meeting-places, They have set their ensigns as ensigns.
Psalm 74:5	He is known as one bringing in on high Against a thicket of wood—axes.
Psalm 74:6	And now, its carvings together With axe and hatchet they break down,
Psalm 74:7	They have sent into fire Thy sanctuary, to the earth they polluted the tabernacle of Thy name,
Psalm 74:8	They said in their hearts, ‘Let us oppress them together,’ They did burn all the meeting-places of God in the land.
Psalm 74:9	Our ensigns we have not seen, There is no more a prophet, Nor with us is one knowing how long.
Psalm 74:10	Till when, O God, doth an adversary reproach? Doth an enemy despise thy name for ever?
Psalm 74:11	Why dost Thou turn back Thy hand, Even Thy right hand? From the midst of Thy bosom remove it.
Psalm 74:12	And God is my king of old, Working salvation in the midst of the earth.
Psalm 74:13	Thou hast broken by Thy strength a sea -monster, Thou hast shivered Heads of dragons by the waters,
Psalm 74:14	Thou hast broken the heads of leviathan, Thou makest him food, For the people of the dry places.
Psalm 74:15	Thou hast cleaved a fountain and a stream, Thou hast dried up perennial flowings.
Psalm 74:16	Thine is the day, also Thine is the night, Thou hast prepared a light giver—the sun.
Psalm 74:17	Thou hast set up all the borders of earth, Summer and winter Thou hast formed them.
Psalm 74:18	Remember this—an enemy reproached Jehovah, And a foolish people have despised Thy name.
Psalm 74:19	Give not up to a company, The soul of Thy turtle-dove, The company of Thy poor ones forget not for ever.
Psalm 74:20	Look attentively to the covenant, For the dark places of earth, Have been full of habitations of violence.
Psalm 74:21	Let not the oppressed turn back ashamed, Let the poor and needy praise Thy name,
Psalm 74:22	Arise, O God, plead Thy plea, Remember Thy reproach from a fool all the day.
Psalm 74:23	Forget not the voice of Thine adversaries, The noise of Thy withstanders is going up continually!
Psalm 75:1	To the Overseer.—‘Destroy not.’—A Psalm of Asaph.—A Song. We have given thanks to Thee, O God, We have given thanks, and near is Thy name, They have recounted Thy wonders.
Psalm 75:2	When I receive an appointment, I—I do judge uprightly.
Psalm 75:3	Melted is the earth and all its inhabitants, I—I have pondered its pillars. Selah.
Psalm 75:4	I have said to the boastful, ‘Be not boastful,’ And to the wicked, ‘Raise not up a horn.’
Psalm 75:5	Raise not up on high your horn, (Ye speak with a stiff neck.)
Psalm 75:6	For not from the east, or from the west, Nor from the wilderness—is elevation.
Psalm 75:7	But God is judge, This He maketh low—and this He lifteth up.
Psalm 75:8	For a cup is in the hand of Jehovah, And the wine hath foamed, It is full of mixture, and He poureth out of it, Only its dregs wring out, and drink, Do all the wicked of the earth,
Psalm 75:9	And I—I declare it to the age, I sing praise to the God of Jacob.
Psalm 75:10	And all horns of the wicked I cut off, Exalted are the horns of the righteous!
Psalm 76:1	To the Overseer with stringed instruments.—A Psalm of Asaph.—A Song. In Judah is God known, in Israel His name is great.
Psalm 76:2	And His tabernacle is in Salem, And His habitation in Zion.
Psalm 76:3	There he hath shivered arrows of a bow, Shield, and sword, and battle. Selah.
Psalm 76:4	Bright art Thou, honourable above hills of prey.
Psalm 76:5	Spoiled themselves have the mighty of heart, They have slept their sleep, And none of the men of might found their hands.
Psalm 76:6	From Thy rebuke, O God of Jacob, Both rider and horse have been fast asleep.
Psalm 76:7	Thou, fearful art Thou, And who doth stand before Thee, Since Thou hast been angry!
Psalm 76:8	From heaven Thou hast sounded judgment, Earth hath feared, and hath been still,
Psalm 76:9	In the rising of God to judgment, To save all the humble of earth. Selah.
Psalm 76:10	For the fierceness of man praiseth Thee, The remnant of fierceness Thou girdest on.
Psalm 76:11	Vow and complete to Jehovah your God, All ye surrounding him. They bring presents to the Fearful One.
Psalm 76:12	He doth gather the spirit of leaders, Fearful to the kings of earth!
Psalm 77:1	To the Overseer, for Jeduthun.—A Psalm of Asaph. My voice is to God, and I cry, my voice is to God, And He hath given ear unto me.
Psalm 77:2	In a day of my distress the Lord I sought, My hand by night hath been spread out, And it doth not cease, My soul hath refused to be comforted.
Psalm 77:3	I remember God, and make a noise, I meditate, and feeble is my spirit. Selah.
Psalm 77:4	Thou hast taken hold of the watches of mine eyes, I have been moved, and I speak not.
Psalm 77:5	I have reckoned the days of old, The years of the ages.
Psalm 77:6	I remember my music in the night, With my heart I meditate, and my spirit doth search diligently:
Psalm 77:7	To the ages doth the Lord cast off? Doth He add to be pleased no more?
Psalm 77:8	Hath His kindness ceased for ever? The saying failed to all generations?
Psalm 77:9	Hath God forgotten His favours? Hath He shut up in anger His mercies? Selah.
Psalm 77:10	And I say: ‘My weakness is, The changes of the right hand of the Most High.’
Psalm 77:11	I mention the doings of Jah, For I remember of old Thy wonders,
Psalm 77:12	And I have meditated on all Thy working, And I talk concerning Thy doings.
Psalm 77:13	O God, in holiness is Thy way, Who is a great god like God?
Psalm 77:14	Thou art the God doing wonders. Thou hast made known among the peoples Thy strength,
Psalm 77:15	Thou hast redeemed with strength Thy people, The sons of Jacob and Joseph. Selah.
Psalm 77:16	The waters have seen Thee, O God, The waters have seen Thee, They are afraid—also depths are troubled.
Psalm 77:17	Poured out waters have thick clouds, The skies have given forth a noise, Also—Thine arrows go up and down.
Psalm 77:18	The voice of Thy thunder is in the spheres, Lightnings have lightened the world, The earth hath trembled, yea, it shaketh.
Psalm 77:19	In the sea is Thy way, And Thy paths are in many waters, And Thy tracks have not been known.
Psalm 77:20	Thou hast led as a flock Thy people, By the hand of Moses and Aaron!
Psalm 78:1	An Instruction of Asaph. Give ear, O my people, to my law, Incline your ear to sayings of my mouth.
Psalm 78:2	I open with a simile my mouth, I bring forth hidden things of old,
Psalm 78:3	That we have heard and do know, And our fathers have recounted to us.
Psalm 78:4	We do not hide from their sons, To a later generation recounting praises of Jehovah, And His strength, and His wonders that He hath done.
Psalm 78:5	And He raiseth up a testimony in Jacob, And a law hath placed in Israel, That He commanded our fathers, To make them known to their sons.
Psalm 78:6	So that a later generation doth know, Sons who are born, do rise and recount to their sons,
Psalm 78:7	And place in God their confidence, And forget not the doings of God, But keep His commands.
Psalm 78:8	And they are not like their fathers, A generation apostate and rebellious, A generation! it hath not prepared its heart, Nor stedfast with God is its spirit.
Psalm 78:9	Sons of Ephraim—armed bearers of bow, Have turned in a day of conflict.
Psalm 78:10	They have not kept the covenant of God, And in His law they have refused to walk,
Psalm 78:11	And they forget His doings, And His wonders that He shewed them.
Psalm 78:12	Before their fathers He hath done wonders, In the land of Egypt—the field of Zoan.
Psalm 78:13	He cleft a sea, and causeth them to pass over, Yea, He causeth waters to stand as a heap.
Psalm 78:14	And leadeth them with a cloud by day, And all the night with a light of fire.
Psalm 78:15	He cleaveth rocks in a wilderness, And giveth drink—as the great deep.
Psalm 78:16	And bringeth out streams from a rock, And causeth waters to come down as rivers.
Psalm 78:17	And they add still to sin against Him, To provoke the Most High in the dry place.
Psalm 78:18	And they try God in their heart, To ask food for their lust.
Psalm 78:19	And they speak against God—they said: ‘Is God able to array a table in a wilderness?’
Psalm 78:20	Lo, He hath smitten a rock, And waters flow, yea, streams overflow. ‘Also—bread is He able to give? Doth He prepare flesh for His people?’
Psalm 78:21	Therefore hath Jehovah heard, And He sheweth Himself wroth, And fire hath been kindled against Jacob, And anger also hath gone up against Israel,
Psalm 78:22	For they have not believed in God, Nor have they trusted in His salvation.
Psalm 78:23	And He commandeth clouds from above, Yea, doors of the heavens He hath opened.
Psalm 78:24	And He raineth on them manna to eat, Yea, corn of heaven He hath given to them.
Psalm 78:25	Food of the mighty hath each eaten, Venison He sent to them to satiety.
Psalm 78:26	He causeth an east wind to journey in the heavens, And leadeth by His strength a south wind,
Psalm 78:27	And He raineth on them flesh as dust, And as sand of the seas—winged fowl,
Psalm 78:28	And causeth it to fall in the midst of His camp, Round about His tabernacles.
Psalm 78:29	And they eat, and are greatly satisfied, And their desire He bringeth to them.
Psalm 78:30	They have not been estranged from their desire, Yet is their food in their mouth,
Psalm 78:31	And the anger of God hath gone up against them, And He slayeth among their fat ones, And youths of Israel He caused to bend.
Psalm 78:32	With all this they have sinned again, And have not believed in His wonders.
Psalm 78:33	And He consumeth in vanity their days, And their years in trouble.
Psalm 78:34	If He slew them, then they sought Him, And turned back, and sought God earnestly,
Psalm 78:35	And they remember that God is their rock, And God Most High their redeemer.
Psalm 78:36	And—they deceive Him with their mouth, And with their tongue do lie to Him,
Psalm 78:37	And their heart hath not been right with Him, And they have not been stedfast in His covenant.
Psalm 78:38	And He—the Merciful One, Pardoneth iniquity, and destroyeth not, And hath often turned back His anger, And waketh not up all His fury.
Psalm 78:39	And He remembereth that they are flesh, A wind going on—and it returneth not.
Psalm 78:40	How often do they provoke Him in the wilderness, Grieve Him in the desolate place?
Psalm 78:41	Yea, they turn back, and try God, And the Holy One of Israel have limited.
Psalm 78:42	They have not remembered His hand The day He ransomed them from the adversary.
Psalm 78:43	When He set His signs in Egypt, And His wonders in the field of Zoan,
Psalm 78:44	And He turneth to blood their streams, And their floods they drink not.
Psalm 78:45	He sendeth among them the beetle, and it consumeth them, And the frog, and it destroyeth them,
Psalm 78:46	And giveth to the caterpillar their increase, And their labour to the locust.
Psalm 78:47	He destroyeth with hail their vine, And their sycamores with frost,
Psalm 78:48	And delivereth up to the hail their beasts, And their cattle to the burning flames.
Psalm 78:49	He sendeth on them the fury of His anger, Wrath, and indignation, and distress—A discharge of evil messengers.
Psalm 78:50	He pondereth a path for His anger, He kept not back their soul from death, Yea, their life to the pestilence He delivered up.
Psalm 78:51	And He smiteth every first-born in Egypt, The first-fruit of the strong in tents of Ham.
Psalm 78:52	And causeth His people to journey as a flock, And guideth them as a drove in a wilderness,
Psalm 78:53	And He leadeth them confidently, And they have not been afraid, And their enemies hath the sea covered.
Psalm 78:54	And He bringeth them in unto the border of His sanctuary, This mountain His right hand had got,
Psalm 78:55	And casteth out nations from before them, And causeth them to fall in the line of inheritance, And causeth the tribes of Israel to dwell in their tents,
Psalm 78:56	And they tempt and provoke God Most High, And His testimonies have not kept.
Psalm 78:57	And they turn back, And deal treacherously like their fathers, They have been turned like a deceitful bow,
Psalm 78:58	And make Him angry with their high places, And with their graven images make Him zealous,
Psalm 78:59	God hath heard, and sheweth Himself wroth. And kicketh exceedingly against Israel.
Psalm 78:60	And He leaveth the tabernacle of Shiloh, The tent He had placed among men,
Psalm 78:61	And He giveth His strength to captivity, And His beauty into the hand of an adversary,
Psalm 78:62	And delivereth up to the sword His people, And with His inheritance shewed Himself angry.
Psalm 78:63	His young men hath fire consumed, And His virgins have not been praised.
Psalm 78:64	His priests by the sword have fallen, And their widows weep not.
Psalm 78:65	And the Lord waketh as a sleeper, As a mighty one crying aloud from wine.
Psalm 78:66	And He smiteth His adversaries backward, A reproach age-during He hath put on them,
Psalm 78:67	And He kicketh against the tent of Joseph, And on the tribe of Ephraim hath not fixed.
Psalm 78:68	And He chooseth the tribe of Judah, With mount Zion that He loved,
Psalm 78:69	And buildeth His sanctuary as a high place, Like the earth, He founded it to the age.
Psalm 78:70	And He fixeth on David His servant, And taketh him from the folds of a flock,
Psalm 78:71	From behind suckling ones He hath brought him in, To rule over Jacob His people, And over Israel His inheritance.
Psalm 78:72	And he ruleth them according to the integrity of his heart, And by the skilfulness of his hands leadeth them!
Psalm 79:1	A Psalm of Asaph. O God, nations have come into Thy inheritance, They have defiled Thy holy temple, They made Jerusalem become heaps,
Psalm 79:2	They gave the dead bodies of Thy servants Food for the fowls of the heavens, The flesh of Thy saints For the wild beast of the earth.
Psalm 79:3	They have shed their blood As water round about Jerusalem, And there is none burying.
Psalm 79:4	We have been a reproach to our neighbours, A scorn and a derision to our surrounders.
Psalm 79:5	Till when, O Jehovah? art Thou angry for ever? Thy jealousy doth burn as fire.
Psalm 79:6	Pour Thy fury on the nations who have not known Thee, And on kingdoms that have not called in Thy name.
Psalm 79:7	For one hath devoured Jacob, And his habitation they have made desolate.
Psalm 79:8	Remember not for us the iniquities of forefathers, Haste, let Thy mercies go before us, For we have been very weak.
Psalm 79:9	Help us, O God of our salvation, Because of the honour of Thy name, And deliver us, and cover over our sins, For Thy name’s sake.
Psalm 79:10	Why do the nations say, ‘Where is their God?’ Let be known among the nations before our eyes, The vengeance of the blood of Thy servants that is shed.
Psalm 79:11	Let the groaning of the prisoner come in before Thee, According to the greatness of Thine arm, Leave Thou the sons of death.
Psalm 79:12	And turn Thou back to our neighbours, Sevenfold unto their bosom, their reproach, Wherewith they reproached Thee, O Lord.
Psalm 79:13	And we, Thy people, and the flock of Thy pasture, We give thanks to Thee to the age, To all generations we recount Thy praise!
Psalm 80:1	To the Overseer.—‘On the Lilies.’ A testimony of Asaph.—A Psalm. Shepherd of Israel, give ear, Leading Joseph as a flock, Inhabiting the cherubs—shine forth,
Psalm 80:2	Before Ephraim, and Benjamin, and Manasseh, Wake up Thy might, and come for our salvation.
Psalm 80:3	O God, cause us to turn back, And cause Thy face to shine, and we are saved.
Psalm 80:4	Jehovah, God of Hosts, till when? Thou hast burned against the prayer of Thy people.
Psalm 80:5	Thou hast caused them to eat bread of tears, And causest them to drink With tears a third time.
Psalm 80:6	Thou makest us a strife to our neighbours, And our enemies mock at it.
Psalm 80:7	God of Hosts, turn us back, And cause Thy face to shine, and we are saved.
Psalm 80:8	A vine out of Egypt Thou dost bring, Thou dost cast out nations, and plantest it.
Psalm 80:9	Thou hast looked before it, and dost root it, And it filleth the land,
Psalm 80:10	Covered have been hills with its shadow, And its boughs are cedars of God.
Psalm 80:11	It sendeth forth its branches unto the sea, And unto the river its sucklings.
Psalm 80:12	Why hast Thou broken down its hedges, And all passing by the way have plucked it?
Psalm 80:13	A boar out of the forest doth waste it, And a wild beast of the fields consumeth it.
Psalm 80:14	God of Hosts, turn back, we beseech Thee, Look from heaven, and see, and inspect this vine,
Psalm 80:15	And the root that Thy right hand planted, And the branch Thou madest strong for Thee,
Psalm 80:16	Burnt with fire—cut down, From the rebuke of Thy face they perish.
Psalm 80:17	Let Thy hand be on the man of Thy right hand, On the son of man Thou hast strengthened for Thyself.
Psalm 80:18	And we do not go back from Thee, Thou dost revive us, and in Thy name we call.
Psalm 80:19	O Jehovah, God of Hosts, turn us back, Cause Thy face to shine, and we are saved!
Psalm 81:1	To the Overseer.—‘On the Gittith.’ By Asaph. Cry aloud to God our strength, Shout to the God of Jacob.
Psalm 81:2	Lift up a song, and give out a timbrel, A pleasant harp with psaltery.
Psalm 81:3	Blow in the month a trumpet, In the new moon, at the day of our festival,
Psalm 81:4	For a statute to Israel it is, An ordinance of the God of Jacob.
Psalm 81:5	A testimony on Joseph He hath placed it, In his going forth over the land of Egypt. A lip, I have not known—I hear.
Psalm 81:6	From the burden his shoulder I turned aside, His hands from the basket pass over.
Psalm 81:7	In distress thou hast called and I deliver thee, I answer thee in the secret place of thunder, I try thee by the waters of Meribah. Selah.
Psalm 81:8	Hear, O My people, and I testify to thee, O Israel, if thou dost hearken to me:
Psalm 81:9	There is not in thee a strange god, And thou bowest not thyself to a strange god.
Psalm 81:10	I am Jehovah thy God, Who bringeth thee up out of the land of Egypt. Enlarge thy mouth, and I fill it.
Psalm 81:11	But, My people hearkened not to My voice, And Israel hath not consented to Me.
Psalm 81:12	And I send them away in the enmity of their heart, They walk in their own counsels.
Psalm 81:13	O that My people were hearkening to Me, Israel in My ways would walk.
Psalm 81:14	As a little thing their enemies I cause to bow, And against their adversaries I turn back My hand,
Psalm 81:15	Those hating Jehovah feign obedience to Him, But their time is—to the age.
Psalm 81:16	He causeth him to eat of the fat of wheat, And with honey from a rock I satisfy thee!
Psalm 82:1	—A Psalm of Asaph. God hath stood in the company of God, In the midst God doth judge.
Psalm 82:2	Till when do ye judge perversely? And the face of the wicked lift up? Selah.
Psalm 82:3	Judge ye the weak and fatherless, The afflicted and the poor declare righteous.
Psalm 82:4	Let the weak and needy escape, From the hand of the wicked deliver them.
Psalm 82:5	They knew not, nor do they understand, In darkness they walk habitually, Moved are all the foundations of earth.
Psalm 82:6	I—I have said, ‘Gods ye are, And sons of the Most High—all of you,
Psalm 82:7	But as man ye die, and as one of the heads ye fall,
Psalm 82:8	Rise, O God, judge the earth, For Thou hast inheritance among all the nations!
Psalm 83:1	A Song,—A Psalm of Asaph. O God, let there be no silence to Thee, Be not silent, nor be quiet, O God.
Psalm 83:2	For, lo, Thine enemies do roar, And those hating Thee have lifted up the head,
Psalm 83:3	Against Thy people they take crafty counsel, And consult against Thy hidden ones.
Psalm 83:4	They have said, ‘Come, And we cut them off from being a nation, And the name of Israel is not remembered any more.’
Psalm 83:5	For they consulted in heart together, Against Thee a covenant they make,
Psalm 83:6	Tents of Edom, and Ishmaelites, Moab, and the Hagarenes,
Psalm 83:7	Gebal, and Ammon, and Amalek, Philistia with inhabitants of Tyre,
Psalm 83:8	Asshur also is joined with them, They have been an arm to sons of Lot. Selah.
Psalm 83:9	Do to them as to Midian, As to Sisera, as to Jabin, at the stream Kishon.
Psalm 83:10	They were destroyed at Endor, They were dung for the ground!
Psalm 83:11	Make their nobles as Oreb and as Zeeb, And as Zebah and Zalmunna all their princes,
Psalm 83:12	Who have said, ‘Let us occupy for ourselves The comely places of God.’
Psalm 83:13	O my God, make them as a rolling thing, As stubble before wind.
Psalm 83:14	As a fire doth burn a forest, And as a flame setteth hills on fire,
Psalm 83:15	So dost Thou pursue them with Thy whirlwind, And with Thy hurricane troublest them.
Psalm 83:16	Fill their faces with shame, And they seek Thy name, O Jehovah.
Psalm 83:17	They are ashamed and troubled for ever, Yea, they are confounded and lost.
Psalm 83:18	And they know that Thou—(Thy name is Jehovah—by Thyself,) Art the Most High over all the earth!
Psalm 84:1	To the Overseer.—‘On the Gittith By sons of Korah.’—A Psalm. How beloved Thy tabernacles, Jehovah of Hosts!
Psalm 84:2	My soul desired, yea, it hath also been consumed, For the courts of Jehovah, My heart and my flesh cry aloud unto the living God,
Psalm 84:3	(Even a sparrow hath found a house, And a swallow a nest for herself, Where she hath placed her brood,) Thine altars, O Jehovah of Hosts, My king and my God.
Psalm 84:4	O the happiness of those inhabiting Thy house, Yet do they praise Thee. Selah.
Psalm 84:5	O the happiness of a man whose strength is in Thee, Highways are in their heart.
Psalm 84:6	Those passing through a valley of weeping, A fountain do make it, Blessings also cover the director.
Psalm 84:7	They go from strength unto strength, He appeareth unto God in Zion.
Psalm 84:8	O Jehovah, God of Hosts, hear my prayer, Give ear, O God of Jacob. Selah.
Psalm 84:9	Our shield, see, O God, And behold the face of Thine anointed,
Psalm 84:10	For good is a day in Thy courts, O Teacher! I have chosen rather to be at the threshold, In the house of my God, Than to dwell in tents of wickedness.
Psalm 84:11	For a sun and a shield is Jehovah God, Grace and honour doth Jehovah give. He withholdeth not good To those walking in uprightness.
Psalm 84:12	Jehovah of Hosts! O the happiness of a man trusting in Thee.
Psalm 85:1	To the Overseer.—By sons of Korah. A Psalm. Thou hast accepted, O Jehovah, Thy land, Thou hast turned to the captivity of Jacob.
Psalm 85:2	Thou hast borne away the iniquity of Thy people, Thou hast covered all their sin. Selah.
Psalm 85:3	Thou hast gathered up all Thy wrath, Thou hast turned back from the fierceness of Thine anger.
Psalm 85:4	Turn back to us, O God of our salvation, And make void Thine anger with us.
Psalm 85:5	To the age art Thou angry against us? Dost Thou draw out Thine anger To generation and generation?
Psalm 85:6	Dost Thou not turn back? Thou revivest us, And Thy people do rejoice in Thee.
Psalm 85:7	Show us, O Jehovah, thy kindness, And Thy salvation Thou dost give to us.
Psalm 85:8	I hear what God Jehovah speaketh, For He speaketh peace unto His people, And unto His saints, and they turn not back to folly.
Psalm 85:9	Only, near to those fearing Him is His salvation, That honour may dwell in our land.
Psalm 85:10	Kindness and truth have met, Righteousness and peace have kissed,
Psalm 85:11	Truth from the earth springeth up, And righteousness from heaven looketh out,
Psalm 85:12	Jehovah also giveth that which is good, And our land doth give its increase.
Psalm 85:13	Righteousness before Him goeth, And maketh His footsteps for a way!
Psalm 86:1	A Prayer of David. Incline, O Jehovah, Thine ear, Answer me, for I am poor and needy.
Psalm 86:2	Keep my soul, for I am pious, Save Thy servant—who is trusting to Thee, O Thou, my God.
Psalm 86:3	Favour me, O Lord, for to Thee I call all the day.
Psalm 86:4	Rejoice the soul of Thy servant, For unto Thee, O Lord, my soul I lift up.
Psalm 86:5	For Thou, Lord, art good and forgiving. And abundant in kindness to all calling Thee.
Psalm 86:6	Hear, O Jehovah, my prayer, And attend to the voice of my supplications.
Psalm 86:7	In a day of my distress I call Thee, For Thou dost answer me.
Psalm 86:8	There is none like Thee among the gods, O Lord, And like Thy works there are none.
Psalm 86:9	All nations that Thou hast made Come and bow themselves before Thee, O Lord, And give honour to Thy name.
Psalm 86:10	For great art Thou, and doing wonders, Thou art God Thyself alone.
Psalm 86:11	Show me, O Jehovah, Thy way, I walk in Thy truth, My heart doth rejoice to fear Thy name.
Psalm 86:12	I confess Thee, O Lord my God, with all my heart, And I honour Thy name to the age.
Psalm 86:13	For Thy kindness is great toward me, And Thou hast delivered my soul from the lowest Sheol.
Psalm 86:14	O God, the proud have risen up against me, And a company of the terrible sought my soul, And have not placed Thee before them,
Psalm 86:15	And Thou, O Lord, art God, merciful and gracious, Slow to anger, and abundant in kindness and truth.
Psalm 86:16	Look unto me, and favour me, Give Thy strength to Thy servant, And give salvation to a son of Thine handmaid.
Psalm 86:17	Do with me a sign for good, And those hating me see and are ashamed, For Thou, O Jehovah, hast helped me, Yea, Thou hast comforted me!
Psalm 87:1	By sons of Korah.—A Psalm, a song. His foundation is in holy mountains.
Psalm 87:2	Jehovah is loving the gates of Zion Above all the tabernacles of Jacob.
Psalm 87:3	Honourable things are spoken in Thee, O city of God. Selah.
Psalm 87:4	I mention Rahab and Babel to those knowing Me, Lo, Philistia, and Tyre, with Cush! This one was born there.
Psalm 87:5	And of Zion it is said: Each one was born in her, And He, the Most High, doth establish her.
Psalm 87:6	Jehovah doth recount in the describing of the peoples, ‘This one was born there.’ Selah.
Psalm 87:7	Singers also as players on instruments, All my fountains are in Thee!
Psalm 88:1	A Song, a Psalm, by sons of Korah, to the Overseer, ‘Concerning the Sickness of Afflictions.’—An instruction, by Heman the Ezrahite. O Jehovah, God of my salvation, Daily I have cried, nightly before Thee,
Psalm 88:2	My prayer cometh in before Thee, Incline Thine ear to my loud cry,
Psalm 88:3	For my soul hath been full of evils, And my life hath come to Sheol.
Psalm 88:4	I have been reckoned with those going down to the pit, I have been as a man without strength.
Psalm 88:5	Among the dead—free, As pierced ones lying in the grave, Whom Thou hast not remembered any more, Yea, they by Thy hand have been cut off.
Psalm 88:6	Thou hast put me in the lowest pit, In dark places, in depths.
Psalm 88:7	Upon me hath Thy fury lain, And with all Thy breakers Thou hast afflicted. Selah.
Psalm 88:8	Thou hast put mine acquaintance far from me, Thou hast made me an abomination to them, Shut up—I go not forth.
Psalm 88:9	Mine eye hath grieved because of affliction, I called Thee, O Jehovah, all the day, I have spread out unto Thee my hands.
Psalm 88:10	To the dead dost Thou do wonders? Do Rephaim rise? do they thank Thee? Selah.
Psalm 88:11	Is Thy kindness recounted in the grave? Thy faithfulness in destruction?
Psalm 88:12	Are Thy wonders known in the darkness? And Thy righteousness in the land of forgetfulness?
Psalm 88:13	And I, unto Thee, O Jehovah, I have cried, And in the morning doth my prayer come before Thee.
Psalm 88:14	Why, O Jehovah, castest Thou off my soul? Thou hidest Thy face from me.
Psalm 88:15	I am afflicted, and expiring from youth, I have borne Thy terrors—I pine away.
Psalm 88:16	Over me hath Thy wrath passed, Thy terrors have cut me off,
Psalm 88:17	They have surrounded me as waters all the day, They have gone round against me together,
Psalm 88:18	Thou hast put far from me lover and friend, Mine acquaintance is the place of darkness!
Psalm 89:1	An instruction, by Ethan the Ezrahite. Of the kind acts of Jehovah, to the age I sing, To all generations I make known Thy faithfulness with my mouth,
Psalm 89:2	For I said, ‘To the age is kindness built, The heavens! Thou dost establish Thy faithfulness in them.’
Psalm 89:3	I have made a covenant for My chosen, I have sworn to David My servant:
Psalm 89:4	‘Even to the age do I establish thy seed, And have built to generation and generation thy throne. Selah.
Psalm 89:5	and the heavens confess Thy wonders, O Jehovah, Thy faithfulness also is in an assembly of holy ones.
Psalm 89:6	For who in the sky, Compareth himself to Jehovah? Is like to Jehovah among sons of the mighty?
Psalm 89:7	God is very terrible, In the secret counsel of His holy ones, And fearful over all surrounding Him.
Psalm 89:8	O Jehovah, God of Hosts, Who is like Thee—a strong Jah? And Thy faithfulness is round about Thee.
Psalm 89:9	Thou art ruler over the pride of the sea, In the lifting up of its billows Thou dost restrain them.
Psalm 89:10	Thou hast bruised Rahab, as one wounded. With the arm of Thy strength Thou hast scattered Thine enemies.
Psalm 89:11	Thine are the heavens—the earth also is Thine, The habitable world and its fulness, Thou hast founded them.
Psalm 89:12	North and south Thou hast appointed them, Tabor and Hermon in Thy name do sing.
Psalm 89:13	Thou hast an arm with might, Strong is Thy hand—high Thy right hand.
Psalm 89:14	Righteousness and judgment Are the fixed place of Thy throne, Kindness and truth go before Thy face.
Psalm 89:15	O the happiness of the people knowing the shout, O Jehovah, in the light of Thy face they walk habitually.
Psalm 89:16	In Thy name they rejoice all the day, And in Thy righteousness they are exalted,
Psalm 89:17	For the beauty of their strength art Thou, And in Thy good will is our horn exalted,
Psalm 89:18	For of Jehovah is our shield, And of the Holy One of Israel our king.
Psalm 89:19	Then Thou hast spoken in vision, To Thy saint, yea, Thou sayest, I have placed help upon a mighty one, Exalted a chosen one out of the people,
Psalm 89:20	I have found David My servant, With My holy oil I have anointed him.
Psalm 89:21	With whom My hand is established, My arm also doth strengthen him.
Psalm 89:22	An enemy exacteth not upon him, And a son of perverseness afflicteth him not.
Psalm 89:23	And I have beaten down before him his adversaries, And those hating him I plague,
Psalm 89:24	And My faithfulness and kindness are with him, And in My name is his horn exalted.
Psalm 89:25	And I have set on the sea his hand, And on the rivers his right hand.
Psalm 89:26	He proclaimeth me: ‘Thou art my Father, My God, and the rock of my salvation.’
Psalm 89:27	I also first-born do appoint him, Highest of the kings of the earth.
Psalm 89:28	To the age I keep for him My kindness, And My covenant is stedfast with him.
Psalm 89:29	And I have set his seed for ever, And his throne as the days of the heavens.
